faclt_nm,faclt_div_nm,refine_wgs84_lat,refine_wgs84_logt,refine_road_nm_addr,refine_lotno_addr,faclt_telno,room_cnt,plot_ar,build_tfar,aceptnc_posbl_psncnt,parkng_comprt_cnt,convnce_faclt_info,safe_faclt_info,subfaclt_info,opr_hr_info,chrg_info,mnginst_telno,mnginst_nm,dat_crtr_ymd
철이네 캠핑랜드,야영장,37.1235,127.3519,경기도 용인시 처인구 백암면 용천로 205,경기도 용인시 처인구 백암면 용천리 627-15번지,000-0000-0000,15,,,100,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
용인밤골캠핑장,야영장,37.1871,127.3349,경기도 용인시 처인구 원삼면 죽양대로1650번길 2-43,경기도 용인시 처인구 원삼면 맹리 695-12번지,000-0000-0000,34,,,70,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
젤코바 캠핑장,야영장,37.2368,127.2619,경기도 용인시 처인구 양지면 송주로236번길 82-19,경기도 용인시 처인구 양지면 주북리 170-8번지,000-0000-0000,43,,,125,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
주원캠핑장,야영장,37.1208,127.3074,경기도 용인시 처인구 원삼면 보개원삼로1415번길 11-14,경기도 용인시 처인구 원삼면 목신리 698번지,000-0000-0000,6,,,20,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
까치산 체험 관광농원,야영장,37.31,127.2456,경기도 용인시 처인구 모현읍 초부로54번길 40,경기도 용인시 처인구 모현읍 초부리 435-6번지,000-0000-0000,6,,,20,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
아르테오스 빌리지,야영장,37.2018,127.1764,경기도 용인시 처인구 이동읍 백자로260번길 6-2,경기도 용인시 처인구 이동읍 서리 348-6번지,000-0000-0000,5,,,15,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
햇골글램핑,야영장,37.2456,127.2079,경기도 용인시 처인구 백옥대로1191번길 63-7,경기도 용인시 처인구 유방동 548-9번지,000-0000-0000,11,,,33,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
솔바람캠핑장,야영장,37.166,127.3268,경기도 용인시 처인구 원삼면 보개원삼로2020번길 18,경기도 용인시 처인구 원삼면 독성리 184번지,000-0000-0000,6,,,20,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
한터팜오토캠핑장,자동차야영장,37.2606,127.2526,경기도 용인시 처인구 양지면 한터로 432-12,경기도 용인시 처인구 양지면 대대리 299-1번지,000-0000-0000,30,,,120,,전기시설+하수도시설+개수대,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
팡팡캠핑장,야영장,37.1817,127.2914,경기도 용인시 처인구 원삼면 동부로 1041,경기도 용인시 처인구 원삼면 사암리 1024-31번지,000-0000-0000,28,,,110,,전기시설+하수도시설+개수대,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
양달캠핑장,야영장,37.1493,127.2867,경기도 용인시 처인구 원삼면 학일로 100-2,경기도 용인시 처인구 원삼면 학일리 368-2번지,031-334-4567,30,,,120,,전기시설+하수도시설+개수대,소화기+확성기+안전게시물+대피소+관리요원,,,,031-324-2117,용인시청,20230420
싱글벙글캠핑장,야영장,37.2121,127.1586,경기도 용인시 처인구 이동읍 상덕로 95-62,경기도 용인시 처인구 이동읍 서리 855-1번지,000-0000-0000,13,,,50,,전기시설+하수도시설+개수대,소화기+확성기+대피소+관리요원,,,,031-324-2117,용인시청,20230420
단풍숲캠핑장,야영장,37.1241,127.3139,경기도 용인시 처인구 원삼면 보개원삼로1462번길 14-22,경기도 용인시 처인구 원삼면 목신리 258-48번지,000-0000-0000,13,,,50,,전기시설+하수도시설+개수대,소화기+확성기+안전게시물+대피소+관리요원,,,,031-324-2117,용인시청,20230420
용인자연휴양림,야영장,37.3153,127.2719,경기도 용인시 처인구 모현읍 초부로 220,경기도 용인시 처인구 모현읍 초부리 산22번지,031-336-0040,25,,,100,,하수도시설+전기시설+개수대+샤워실,소화기+방송장비+안전게시물+대피소+관리요원,,,,031-324-2117,용인시청,20230420
문수산캠핑장,야영장,37.1622,127.2529,경기도 용인시 처인구 이동읍 이원로 637-1,경기도 용인시 처인구 이동읍 묵리 205번지,000-0000-0000,19,,,76,,하수도시설+전기시설+개수대,소화기+확성기+안전게시물+관리요원+대피소,,,,031-324-2117,용인시청,20230420
우리꽃캠핑장,야영장,37.2961,127.0938,경기도 용인시 기흥구 신정로301번길 65,경기도 용인시 기흥구 보정동 1056번지,000-0000-0000,10,,,40,,하수도시설+전기시설+개수대,소화기+확성기+안전게시물+관리요원+대피소,,,,031-324-2117,용인시청,20230420
숲속에 안뜰,야영장,37.1829,127.3081,경기도 용인시 처인구 원삼면 원양로 250-23,경기도 용인시 처인구 원삼면 사암리 82-1번지,000-0000-0000,8,,,32,,하수도시설+전기시설+개수대,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
구봉산오토캠핑장 나인힐스,야영장,37.1177,127.3132,경기도 용인시 처인구 원삼면 보개원삼로1372번길 41,경기도 용인시 처인구 원삼면 목신리 83-61번지,000-0000-0000,50,,,200,,하수도시설+전기시설+개수대,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
캐리비안캠프,야영장,37.2844,127.2092,경기도 용인시 처인구 포곡읍 마성로 356,경기도 용인시 처인구 포곡읍 전대리 457-3번지,000-0000-0000,13,,,52,,하수도시설+전기시설+취사시설,소화기+확성기+안전게시물+관리요원+대피소,,,,031-324-2117,용인시청,20230420
용인힐링캠핑장,야영장,37.1187,127.3081,경기도 용인시 처인구 원삼면 보개원삼로 1361,경기도 용인시 처인구 원삼면 목신리 169-1번지,000-0000-0000,20,,,80,,하수도시설+전기시설+개수대,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
용인랜드 숲속캠핑장,야영장,37.2587,127.2582,경기도 용인시 처인구 양지면 한터로454번길 33-17,경기도 용인시 처인구 양지면 대대리 292번지,031-336-3838,20,,,80,,하수도시설+전기시설+개수대,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
제일관광캠핑장,자동차야영장,37.1596,127.2951,경기도 용인시 처인구 원삼면 문촌로 174,경기도 용인시 처인구 원삼면 문촌리 241-1번지,000-0000-0000,5,,,20,,전기시설+하수도시설+개수대,소화기+확성기+관리요원,,,,031-324-2117,용인시청,20230420
용인블루캠핑장,야영장,37.1342,127.31,경기도 용인시 처인구 원삼면 보개원삼로 1564-1,경기도 용인시 처인구 원삼면 목신리 416-1번지,000-0000-0000,15,,,60,,하수도시설+전기시설+개수대+샤워실,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
다누리골테마파크,야영장,37.1293,127.2435,경기도 용인시 처인구 이동읍 묘봉로277번길 41,경기도 용인시 처인구 이동읍 묘봉리 77-4번지,031-307-2537,25,,,100,,하수도시설+전기시설+개수대+샤워실,소화기+확성기+대피소+관리요원,,,,031-324-2117,용인시청,20230420
힐포인트,야영장,37.3514,127.0529,경기도 용인시 수지구 동천로 541,경기도 용인시 수지구 고기동 346-1번지,000-0000-0000,16,,,64,,하수도시설+전기시설+개수대+샤워실,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
양지파인글램핑,야영장,37.2142,127.29,경기도 용인시 처인구 양지면 남평로 112,경기도 용인시 처인구 양지면 남곡리 34-1번지,031-932-8188,15,,,60,,하수도시설+전기시설+개수대+샤워실,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
씨밀레자연관광농원,야영장,37.1631,127.249,경기도 용인시 처인구 이동읍 이원로601번길 1-7,경기도 용인시 처인구 이동읍 묵리 382-4번지,000-0000-0000,15,,,60,,하수도시설+전기시설+개수대+샤워실,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
마운틴캠핑장,야영장,37.1351,127.3285,경기도 용인시 처인구 원삼면 후평로185번길 50,경기도 용인시 처인구 원삼면 죽능리 26-34번지,000-0000-0000,26,,,104,,하수도시설+전기시설+개수대+샤워실,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,20230420
들꽃여울캠핑장,야영장,37.5972533,127.5055467,경기도 가평군 설악면 어비산길 130-6,경기도 가평군 설악면 가일리 100-2,,6,1155.0,82.65,24,6,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가평아일렛,야영장,37.8180125,127.3257582,경기도 가평군 상면 원흥길 37-6,경기도 가평군 상면 원흥리 249-8번지,,1,1481.0,,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
달빛정원글램핑,야영장,37.593121,127.487331,,경기도 가평군 설악면 가일리 234,,1,3963.0,80.0,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
캠핑플레이,야영장,37.9683031,127.4155303,경기도 가평군 북면 논남기길 468-33,경기도 가평군 북면 적목리 335-6번지,,18,4657.0,216.44,72,18,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
남이섬베스트캠핑,야영장,37.7719069,127.5350488,,경기도 가평군 가평읍 금대리 301,,2,4208.0,189.0,8,2,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
리즈밸리,야영장,37.5915164,127.5127638,경기도 가평군 설악면 어비산길 201-34,경기도 가평군 설악면 가일리 40번지,,1,3474.0,345.27,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
푸른숲캠핑장,야영장,37.5970271,127.4946539,경기도 가평군 설악면 유명산길 61-108,경기도 가평군 설악면 가일리 211-1,,12,1356.0,307.66,48,12,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
더 플래츠 글램핑,야영장,37.7622558,127.36458,경기도 가평군 상면 수목원로 181-28,경기도 가평군 상면 행현리 375-4번지,,3,6125.0,260.82,12,3,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가평운악카라반파크,야영장,37.8530979,127.3563597,경기도 가평군 조종면 운악청계로 424,경기도 가평군 조종면 신상리 206-10번지,,3,5027.0,270.78,12,3,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
온더락캠핑장,야영장,37.7602136,127.3585028,경기도 가평군 상면 수목원로 238-106,경기도 가평군 상면 행현리 산190번지,,1,2405.0,237.47,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
포레스트 소울,야영장,37.8917173,127.3683602,경기도 가평군 조종면 명지산로 206-7,경기도 가평군 조종면 상판리 344-1번지,,8,3821.0,379.05,32,8,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
지지밸리 유명산 오토캠핑장,야영장,37.6166236,127.4921882,경기도 가평군 설악면 유명로 794-46,경기도 가평군 설악면 방일리 545-4번지,,11,4960.0,283.2,44,11,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
캠플레이,야영장,37.780745,127.2887467,경기도 가평군 상면 비룡로 1610-15,경기도 가평군 상면 상동리 250-2번지,,2,875.0,75.0,8,2,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
유명산 258,야영장,37.5964581,127.4922457,경기도 가평군 설악면 유명산길 61-12,경기도 가평군 설악면 가일리 258-1번지,,7,2896.0,,28,7,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
우리들캠핑장,야영장,37.9032774,127.5586174,경기도 가평군 북면 화악산로 245,경기도 가평군 북면 소법리 133-6번지,,19,3593.0,64.8,76,19,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
유명산힐링캠프,야영장,37.5908964,127.5131868,경기도 가평군 설악면 어비산길 201-62,경기도 가평군 설악면 가일리 39-11번지,,10,4735.0,467.51,40,10,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
자우림캠핑장,야영장,37.9698489,127.452235,경기도 가평군 북면 가화로 2697-125,경기도 가평군 북면 적목리 153-4번지,,5,678.0,61.48,20,5,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
케이 캠핑장(K캠핑장),야영장,37.8277055,127.4824452,경기도 가평군 가평읍 경반안로 229,경기도 가평군 가평읍 경반리 515번지 칼봉산오토캠핑장,,16,4655.0,135.6,64,16,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
숨쉬는고래,야영장,37.6076711,127.5102462,경기도 가평군 설악면 장수로79번길 63-18,경기도 가평군 설악면 묵안리 577번지,,1,1604.0,141.8,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
별밤 글램핑,야영장,37.8215329,127.3206035,,경기도 가평군 상면 원흥리 514-13,,6,935.0,55.1,24,6,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
융프라우캠핑장,야영장,37.5924288,127.5133354,,경기도 가평군 설악면 가일리 41-3,,19,2041.0,69.6,76,19,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
헤스티아,야영장,37.7139094,127.4032497,경기도 가평군 청평면 북한강로 2245,경기도 가평군 청평면 삼회리 67,,1,1878.0,28.8,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
개울가오토캠핑장,야영장,37.6032081,127.4945896,"경기도 가평군 설악면 유명로 58, 654동",경기도 가평군 설악면 가일리 180-4,,8,2067.0,36.8,32,8,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
라루체 글램핑 꿈을 노래하다,야영장,37.5978833,127.4947161,경기도 가평군 설악면 유명산길 61-75,경기도 가평군 설악면 가일리 261-3번지,,1,4904.0,192.78,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
여우가달을사랑할때,야영장,37.8122166,127.4314677,경기도 가평군 가평읍 태봉두밀로596번길 78-12,경기도 가평군 가평읍 두밀리 590번지,,1,2725.0,49.92,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
코끼리캠핑장,야영장,37.9589006,127.5269683,경기도 가평군 북면 화악산로 1217-2,경기도 가평군 북면 화악리 1007번지,,2,2561.0,198.97,8,2,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
힐링가평오토캠핑장,야영장,37.7568908,127.4035863,경기도 가평군 상면 청군로 316,경기도 가평군 상면 덕현리 159-10번지,,9,2270.0,172.78,36,9,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
중바위캠핑장,야영장,37.8879629,127.5381648,경기도 가평군 북면 제령아랫말길 70,경기도 가평군 북면 제령리 218-4번지 중바위유원지,,37,4668.0,277.6,148,37,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
구름계곡캠핑장,야영장,37.887641,127.5387921,경기도 가평군 북면 제령아랫말길 69,경기도 가평군 북면 제령리 219-2번지,,38,5026.0,53.65,152,38,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
명돈골캠핑장,야영장,37.9674919,127.4588877,경기도 가평군 북면 논남기길 19-36,경기도 가평군 북면 도대리 535번지 (명돈골레저유원지),,8,2726.0,155.16,32,8,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
또올래캠핑장,야영장,37.9744868,127.4478867,경기도 가평군 북면 가화로 2745-70,경기도 가평군 북면 적목리 119-1번지,,30,9358.0,599.09,120,30,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가평 워크샵 캠핑장 씨브이,야영장,37.753618,127.5356282,경기도 가평군 가평읍 북한강변로 274,경기도 가평군 가평읍 금대리 102-5번지,,1,1983.0,190.34,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
별빛누리 글램핑장,야영장,37.7544253,127.4078277,경기도 가평군 상면 청군로 253,경기도 가평군 상면 덕현리 131-3번지 대하유원지가든,,1,6916.0,236.18,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
올덴캠핑장,야영장,37.7019939,127.516852,경기도 가평군 청평면 고재길 262-64,경기도 가평군 청평면 고성리 23번지,,6,1127.0,198.44,24,6,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
플로레스타,야영장,37.8560876,127.5435679,,경기도 가평군 가평읍 개곡리 641-5,,1,2339.0,24.0,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
삼화힐링타운캠핑장,야영장,37.8366347,127.3144781,경기도 가평군 상면 물골길 118,경기도 가평군 상면 봉수리 16번지,,5,2086.0,32.76,20,5,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
리틀 포레스트 캠핑,야영장,37.7511187,127.366207,경기도 가평군 상면 임초밤안골로 230,경기도 가평군 상면 임초리 608번지,,12,3215.0,170.45,48,12,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가평 오블리비아테 수영장 펜션&카라반,야영장,37.8661474,127.5565425,경기도 가평군 가평읍 당목가일길 410-68,경기도 가평군 가평읍 개곡리 382-1번지,,7,4813.0,106.78,28,7,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
동화카라반캠핑장,야영장,37.853416,127.5087433,경기도 가평군 가평읍 가화로 440-151,경기도 가평군 가평읍 마장리 395-20번지,,2,3006.0,138.6,8,2,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
두밀숲캠핑장,야영장,37.8082227,127.4328611,경기도 가평군 가평읍 태봉두밀로 655-9,경기도 가평군 가평읍 두밀리 541-15번지,,12,2516.0,61.62,48,12,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
늘푸른쉼터캠핑장,야영장,37.5972098,127.4973593,,경기도 가평군 설악면 가일리 209,,25,9157.0,250.76,100,25,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가평 밤나무숲캠핑장,야영장,37.9380716,127.5626422,경기도 가평군 북면 화악산로 686-57,경기도 가평군 북면 화악리 653번지,,20,1977.0,50.0,80,20,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
라온캠핑장,야영장,37.7088682,127.4663943,경기도 가평군 청평면 호반로 740,경기도 가평군 청평면 호명리 342-6번지,,1,576.0,710.32,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
블루래빗,야영장,37.6001083,127.4945539,경기도 가평군 설악면 어비산길 11,경기도 가평군 설악면 가일리 193-1번지,,8,1923.0,52.0,32,8,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
엄소리오토캠핑장,야영장,37.6563194,127.4848126,경기도 가평군 설악면 묵안로 29,경기도 가평군 설악면 엄소리 423번지,,40,6454.0,181.44,160,40,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
캠프스테이,야영장,37.6335703,127.4751348,경기도 가평군 설악면 가마소길 17-500,경기도 가평군 설악면 천안리 714-1번지,,15,6200.0,126.93,60,15,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
Link dog 애견캠핑장,야영장,37.6607394,127.4900752,경기도 가평군 설악면 신천중앙로28번길 101-60,경기도 가평군 설악면 신천리 263번지,,5,2364.0,120.8,20,5,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
고멧캠핑장,야영장,37.8453654,127.4865262,경기도 가평군 가평읍 용추로 227-88,경기도 가평군 가평읍 승안리 263-4번지,,1,1889.0,230.4,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가평 댕댕이 애견 글램핑 앤 펜션,야영장,37.8358427,127.352942,경기도 가평군 조종면 운악청계로 238-38,경기도 가평군 조종면 현리 2-4번지,,1,1340.0,42.0,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
오래캠핑장,야영장,37.902451,127.559316,경기도 가평군 북면 화악산로 233,경기도 가평군 북면 소법리 137-2번지,,18,2902.0,106.16,72,18,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
부에노스아이레스,야영장,37.7405154,127.4999346,경기도 가평군 가평읍 상지로 949,경기도 가평군 가평읍 복장리 580-3번지,,15,9818.0,235.65,60,15,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
산책,야영장,37.9365023,127.5408656,경기도 가평군 북면 화악산로 943-40,경기도 가평군 북면 화악리 754-6번지,,1,1638.0,87.57,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
라무 키즈 글램핑,야영장,37.9543328,127.4779076,경기도 가평군 북면 가화로 2372-42,경기도 가평군 북면 도대리 324-9번지,,1,1373.0,251.01,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
그라티아 글램핑,야영장,37.8152728,127.4547619,경기도 가평군 가평읍 태봉두밀로 421-24,경기도 가평군 가평읍 두밀리 216번지,,1,2607.0,85.02,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
넵투누스 카라반,야영장,37.6995713,127.5171625,경기도 가평군 청평면 고재길 262-123,경기도 가평군 청평면 고성리 25-1번지,,1,1594.0,155.48,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
새연글램핑카라반설악점(주),야영장,37.6832417,127.4702508,경기도 가평군 설악면 유명로 1939-26,경기도 가평군 설악면 회곡리 24-2번지,,1,3144.0,135.06,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
두레캠핑장,야영장,37.7685172,127.4703938,경기도 가평군 청평면 상지로 171,경기도 가평군 청평면 상천리 1494번지 두레마을휴양림,,30,760.0,73.46,120,30,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
용소캠핑장,야영장,37.9545048,127.4740261,경기도 가평군 북면 가화로 2411-32,경기도 가평군 북면 도대리 335-3번지,,36,2990.0,106.4,144,36,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
맑은물소리캠핑장,야영장,37.6348941,127.4729387,경기도 가평군 설악면 가마소길 17-270,경기도 가평군 설악면 천안리 727-6번지,,10,2185.0,271.83,40,10,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
오하브글램핑,야영장,37.8961176,127.526903,경기도 가평군 북면 꽃넘이길 43,경기도 가평군 북면 제령리 533-1번지,,1,6792.0,777.8,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
호랑이 캠핑(가평점),야영장,37.7012096,127.4546097,경기도 가평군 설악면 유명로 2204,경기도 가평군 설악면 회곡리 305-4번지,,2,2753.0,,8,2,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
별천지야영장,야영장,37.9328145,127.5471907,경기도 가평군 북면 화악산로 816,경기도 가평군 북면 화악리 741-7번지,,21,5400.0,54.0,84,21,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
블루문캠핑장,야영장,37.7473892,127.3481283,경기도 가평군 상면 수목원로386번길 48-65,경기도 가평군 상면 행현리 621-5번지,,58,12149.0,74.46,232,58,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
철이네캠핑장,야영장,37.5941534,127.4906193,경기도 가평군 설악면 유명산길 79-18,경기도 가평군 설악면 가일리 223번지,,5,1333.0,53.2,20,5,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
호명산잣나무숲속캠핑장,야영장,37.7657897,127.4590516,경기도 가평군 청평면 상지로64번길 77,경기도 가평군 청평면 상천리 산392-1번지 상천지구농촌테마공원,,20,5141.0,,80,20,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
핀란드캠핑성,야영장,37.8364108,127.3162752,경기도 가평군 상면 물골길 102,경기도 가평군 상면 봉수리 14번지,,2,3967.0,161.0,8,2,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
하이몽글램핑&캠핑장,야영장,37.7744413,127.3552585,경기도 가평군 상면 축령로 183-53,경기도 가평군 상면 행현리 800번지,,30,7353.0,60.42,120,30,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
팜스테이 글램핑 앤 펜션,야영장,37.6701289,127.3946558,경기도 가평군 청평면 북한강로1636번길 133,경기도 가평군 청평면 삼회리 425번지,,2,3097.0,286.41,8,2,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
포시즌캠핑장,야영장,37.9464567,127.5357975,경기도 가평군 북면 화악산로 1039-16,경기도 가평군 북면 화악리 834-7번지,,27,3555.0,32.7,108,27,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
열두달캠핑장,야영장,37.9040338,127.5707236,경기도 가평군 북면 멱골로 202-101,경기도 가평군 북면 목동리 542번지,,7,1020.0,65.28,28,7,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가평 뚜뚜 키즈 풀빌라 앤 글램핑 펜션,야영장,37.8185572,127.4577137,경기도 가평군 가평읍 태봉두밀로406번길 14-27,경기도 가평군 가평읍 두밀리 56-3번지,,1,3422.0,190.36,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가평글램트리리조트,야영장,37.786147,127.3217103,경기도 가평군 상면 돌아우길 75,경기도 가평군 상면 상동리 산36-12번지,,1,7992.0,276.39,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
프라도 캠핑장,야영장,37.898833,127.5604064,경기도 가평군 북면 화악산로207번길 5-29,경기도 가평군 북면 소법리 103-2번지,,19,3626.0,45.6,76,19,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
