bizplc_nm,licensg_ymd,licensg_rtrcn_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,locplc_ar_info,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,plvtinst_div_nm,insrnc_join_yn,mber_recrut_tot_psncnt
아센라이프스포츠센타,20050112,,35,직권말소,20221206,,,,경기도 오산시 현충로 95 (은계동),경기도 오산시 은계동 7-34,447300,37.1614395671,127.0779151186,,206980.384628239,406565.041687482,체력단련장업,사립,,
군포국민체육센터 헬스장,20190124,,35,직권말소,20230301,031-390-7702,,15874,"경기도 군포시 군포로 339, 군포국민체육센터 3층 (부곡동)",경기도 군포시 부곡동 1226 군포국민체육센터,15874,37.338759376,126.9364765931,,194224.009228745,426353.548340213,체력단련장업,공립,Y,
써클30매탄클럽,20120410,,35,직권말소,20190717,,118.6,16545,"경기도 수원시 영통구 매탄로108번길 16, 603호 (매탄동, 엔타운)",경기도 수원시 영통구 매탄동 1262-2 엔타운 603호,443848,37.2599824483,127.0442441388,,203844.62975871,417563.611032219,체력단련장업,사립,,
피트니스 팬시,20201109,,35,직권말소,20231206,,336.62,18434,"경기도 화성시 동탄구 동탄지성로 94, 하나로오피스텔 301호 전체~303호 전체, 304호 일부호 (반송동)",경기도 화성시 동탄구 반송동  42-5 하나로오피스텔,18434,37.2076880164,127.0646863447,,205676.080982494,411758.399006327,체력단련장업,사립,,
여성전용 헬스 에어로빅,20100813,,35,직권말소,20160809,031-335-1379,157.96,17051,"경기도 용인시 처인구 금령로90번길 1, 5층 (김량장동, 덕윤빌딩)",경기도 용인시 처인구 김량장동 90-2 5층,17051,37.2352834087,127.2064078315,,218254.164305961,414836.727815689,체력단련장업,사립,,
PLAN·B헬스,20120621,,35,직권말소,20190826,070-8969-2899,120.05,16274,"경기도 수원시 장안구 수성로258번길 3, 메가플러스동 401호 (영화동)",경기도 수원시 장안구 영화동 398-1 메가플러스 401호,440820,37.289563285,127.001059562,,200019.525025731,420847.281566755,체력단련장업,사립,Y,
에이플러스,20121231,,35,직권말소,20180620,,275.66,16489,"경기도 수원시 팔달구 경수대로466번길 44, 2층 (인계동)",경기도 수원시 팔달구 인계동 1034-2 2층,442834,37.2668475129,127.0295069943,,202546.21740816,418326.742632156,체력단련장업,사립,,
크로스핏히어로,20140318,,35,직권말소,20180620,,420.7,16488,"경기도 수원시 팔달구 효원로307번길 47, 지층 01, 02호 (인계동, 문화빌딩)","경기도 수원시 팔달구 인계동 1121-6 문화빌딩 지층 01,02호",442835,37.2630329048,127.0359252625,,203115.450627532,417899.103151844,체력단련장업,사립,,
레디휘트니스,20140912,,35,직권말소,20181214,,258.93,16295,경기도 수원시 장안구 송원로 81 (조원동),경기도 수원시 장안구 조원동 898-1,440200,37.3021627847,127.0092247016,,200746.489299722,422239.195379247,체력단련장업,사립,,
현대헬스,20010228,,35,직권말소,20160411,,165.44,,"경기도 안양시 만안구 삼덕로 55-1 (안양동,2층)",경기도 안양시 만안구 안양동 710-21 2층,430834,37.393914107,126.9196149659,,192812.365011046,432424.330828259,체력단련장업,사립,,
헬싱타운,20040202,,35,직권말소,20250623,,,,,"경기도 안양시 만안구 안양동 676-281 3,4층",430728,,,,,,체력단련장업,사립,,
시티헬스클럽,19970704,,35,직권말소,20180803,,,10381,"경기도 고양시 일산서구 중앙로 1568, 6층 (대화동)",경기도 고양시 일산서구 대화동 2203 하성프라자 6층동,10381,37.6763734575,126.7479225208,,177693.645,463804.75,체력단련장업,사립,,
동네헬스,19980122,,35,직권말소,20101101,,109.32,,경기도 고양시 일산동구 대산로11번길 83-6  (정발산동),경기도 고양시 일산동구 정발산동 714-2,410836,37.6662854872,126.7719937847,,179815.160556895,462678.293369419,체력단련장업,사립,,
삼흥,19980114,,35,직권말소,20160513,,,10287,경기도 고양시 덕양구 통일로 781 (관산동),경기도 고양시 덕양구 관산동 235,412802,37.687825198,126.8635947647,,187903.412114694,465051.201802962,체력단련장업,사립,,
조휘트니스클럽,19980114,,35,직권말소,20180803,,,10374,"경기도 고양시 일산서구 일산로 572, 4층 (일산동)",경기도 고양시 일산서구 일산동 1065-5 일산프라자 4층동,10374,37.6793108809,126.7649375149,,179197.517670039,464125.15157835,체력단련장업,사립,,
여성헬스 딸기,20050601,,35,직권말소,20110103,,,,"경기도 안양시 만안구 만안로 241  (안양동,9층)",경기도 안양시 만안구 안양동 668-16 9층,430831,37.40163044,126.9215778949,,,,체력단련장업,사립,,
퍼스트 휘트니스,20061002,,35,직권말소,20141201,,289.86,,"경기도 안양시 동안구 흥안대로 112-1 (호계동,9층)",경기도 안양시 동안구 호계동 968-20 9층,431849,37.3699363818,126.9573289766,,196150.047677427,429756.989259983,체력단련장업,사립,,
유핏,20160719,,35,직권말소,20180710,032-684-1831,296.48,14547,"경기도 부천시 원미구 석천로 176, 2층 (중동, 이원빌딩)",경기도 부천시 원미구 중동 1159,14547,37.5030438306,126.7631279838,,178983.936581007,444562.846675158,체력단련장업,사립,,
바디킴 GYM,20190820,,35,직권말소,20251209,,107.25,14699,"경기도 부천시 소사구 소안로 24, 3층 (괴안동)",경기도 부천시 소사구 괴안동 30-3,14699,37.4770053249,126.8019614218,,182414.554497746,441669.171449974,체력단련장업,사립,,
효림헬스클럽,20030308,,35,직권말소,20200608,,,,경기도 수원시 권선구 덕영대로1201번길 20 (권선동),경기도 수원시 권선구 권선동 1192-1,441831,37.2499914893,127.0227673542,,201952.034003281,416448.95283765,체력단련장업,사립,,
고색스포츠,20030308,,35,직권말소,20200608,,,,경기도 수원시 권선구 매송고색로676번길 3 (고색동),경기도 수원시 권선구 고색동 380-4,441811,37.2499409949,126.9787240961,,198042.661839747,416446.763782048,체력단련장업,사립,,
ZOE'S PT STUDIO,20210723,,35,직권말소,20230608,,37.5,16517,"경기도 수원시 영통구 광교호수공원로 155, 1204동 1층 117호 (원천동, 수원광교에일린의뜰)",경기도 수원시 영통구 원천동 590 수원광교에일린의뜰,16517,37.2780969268,127.0599834836,,205189.37153269,419528.584974652,체력단련장업,사립,,
변해짐피티(변해짐PT) 인계동 본점,20210906,,35,직권말소,20250507,,246.85,16489,"경기도 수원시 팔달구 경수대로446번길 53, 광봉빌딩 5층 (인계동)",경기도 수원시 팔달구 인계동 1032-15 광봉빌딩,16489,37.2654235245,127.0295609664,,202549.881860612,418161.486195889,체력단련장업,사립,,
짐타임 수원점,20220217,,35,직권말소,20250904,031-271-1870,183.14,16326,"경기도 수원시 장안구 천천로 100, 4층 401호 (천천동)",경기도 수원시 장안구 천천동 516,16326,37.3006133449,126.9840162891,,198520.4175406,422075.156781295,체력단련장업,사립,,
머슬팩토리 수원헬스,20220519,,35,직권말소,20230719,,321.62,16273,"경기도 수원시 장안구 장안로 54, 칠공빌딩 (영화동)",경기도 수원시 장안구 영화동 392-4 칠공빌딩,16273,37.2896489983,127.004296873,,200313.84150289,420855.220262142,체력단련장업,사립,,
올인필라테스피티,20221031,,35,직권말소,20250507,,260.04,16474,"경기도 수원시 팔달구 인계로 53, 2층 201호 (인계동)",경기도 수원시 팔달구 인계동 871-5,16474,37.2695106452,127.0237495114,,202042.109445432,418630.264720832,체력단련장업,사립,,
현대생활스포츠,19990706,,35,직권말소,20220616,031-745-3021,,13130,"경기도 성남시 수정구 수정로 326, 4층 (산성동)",경기도 성남시 수정구 산성동 2125,13130,37.452661162,127.1498428301,,213190.60099152,438953.005227618,체력단련장업,사립,,
분당 파워짐,20040204,,35,직권말소,20220926,,345.91,13583,"경기도 성남시 분당구 장안로 39, 301,302호 (분당동, 한일빌딩)",경기도 성남시 분당구 분당동 90-1,13583,37.3704636672,127.1434601531,,212637.407607508,429830.868576239,체력단련장업,사립,,
시티스포츠센터,20031106,,35,직권말소,20190613,,,,"경기도 화성시 효행구 효행로 241, 201동 204호 (기안동)",경기도 화성시 효행구 기안동  338-3 201동 204호,445310,37.226053054,126.9724069865,,197477.250805128,413796.17534958,체력단련장업,사립,,
(주)제이엠에스홀딩스 상동점,20220621,,35,직권말소,20231215,,,14545,"경기도 부천시 원미구 송내대로 239, 소풍(부천터미널) 6층 6FC01~6FC48호 (상동)",경기도 부천시 원미구 상동 539-1 소풍(부천터미널),14545,37.5041752477,126.7566905848,,178411.442079953,444684.405331659,체력단련장업,사립,,
THE 멋 GYM,20180220,,35,직권말소,20220418,,205.23,12223,"경기도 남양주시 평내로29번길 41, 메인프라자 2층 201호 (평내동)",경기도 남양주시 평내동 578-3 메인프라자 201호,12223,37.6454215274,127.2349761137,,220667.794203159,460363.34357979,체력단련장업,사립,,
봄날휘트니스 1호점,20200629,,35,직권말소,20240808,,272.38,12248,"경기도 남양주시 다산중앙로 105-8, 성산플레이스4차 9층 901,902호 (다산동)","경기도 남양주시 다산동 6088-3 성산플레이스4차 9층 901,902호",12248,37.6227111352,127.1529109733,,213428.814322326,457829.512215219,체력단련장업,사립,,
스터번스그린헬스,20140311,,35,직권말소,20250904,,183.39,16340,"경기도 수원시 장안구 만석로159번길 77, 상가동 202호 (정자동, 그린맨션)",경기도 수원시 장안구 정자동 417 그린맨션 상가동 202호,440840,37.3049176774,126.9955643428,,199549.06804293,422515.807505301,체력단련장업,사립,,
원종헬스클럽,20120601,,35,직권말소,20161228,032-673-1425,217.7,,"경기도 부천시 오정구 삼작로 400 (원종동,201호)",경기도 부천시 오정구 원종동 367 201호,421200,37.5196184879,126.8061024401,,182788.5200602,446395.563956575,체력단련장업,사립,,
웰빙건강스포츠클럽,20091202,,35,직권말소,20230816,031-677-0780,270.17,17581,"경기도 안성시 중앙로372번길 21 (서인동,(3층))",경기도 안성시 서인동 104 (3층),456210,37.0067921579,127.2679283972,,223778.63999912,389496.284218936,체력단련장업,사립,,
S휘트니스,20100315,,35,직권말소,20230816,031-653-4296,267.97,17564,"경기도 안성시 공도읍 진사길 25 (광동아이비타운 C동 201호, 202호)","경기도 안성시 공도읍 진사리 20-30 광동아이비타운 C동 201호, 202호",456826,36.9920028767,127.1393010098,,212328.428578522,387832.01884651,체력단련장업,사립,,
머슬짐,20130527,,35,직권말소,20230816,,210,17561,"경기도 안성시 공도읍 공도3로 10-6, 2층 201호",경기도 안성시 공도읍 만정리 816-2 2층 201호,456823,37.0006682102,127.1712013728,,215167.5635,388796.417,체력단련장업,사립,,
힐 스포츠,20140619,,35,직권말소,20230816,031-673-7710,165,17590,경기도 안성시 중앙로439번길 7 (봉남동),경기도 안성시 봉남동 18-1 2층,456040,37.0066803576,127.2754145343,,224448.204116795,389483.045045289,체력단련장업,사립,,
The Ray,20110513,,35,직권말소,20220926,,101.67,,"경기도 성남시 분당구 발이봉남로25번길 1 (수내동,1층)",경기도 성남시 분당구 수내동 104-4 1층,463865,37.3641042692,127.1273299722,,211208.4059706,429121.680415503,체력단련장업,사립,,
FM스피닝센터,20120113,,35,직권말소,20170517,,202.08,13313,경기도 성남시 수정구 성남대로 1185 (수진동),경기도 성남시 수정구 수진동 4615-1 8층,461807,37.4355948829,127.1280948576,,211263.658594977,437059.715257279,체력단련장업,사립,,
이동형헬스클럽,19990107,,35,직권말소,20161228,,,,경기도 부천시 오정구 고리울로51번길 20 (고강동),경기도 부천시 오정구 고강동 394,421804,37.5281387572,126.8220604519,,184203.243577083,447335.804046786,체력단련장업,사립,,
스포츠센터,20140114,,35,직권말소,20190507,,224,13902,"경기도 안양시 만안구 연현로 109 (석수동, 석수두산위브 주민복지센터 지하1층)",경기도 안양시 만안구 석수동 417-3,430809,37.4338811962,126.9016280249,,,,체력단련장업,사립,,
라인업휘트니스,20030903,,35,직권말소,20190701,031-930-5122,,,"경기도 고양시 덕양구 백양로 85 (화정동,동양트레벨 지하1층)",경기도 고양시 덕양구 화정동 975-3 동양트레벨 지하1층,412757,37.6334905241,126.83372998,,185260.272932577,459039.869296121,체력단련장업,사립,,
비어드짐(Beard gym),20180423,,35,직권말소,20260317,,210.37,10905,"경기도 파주시 와석순환로 125, 현대프라자 301호∼302호 (동패동)",경기도 파주시 동패동 1759-2 현대프라자 301호∼302호,10905,37.7121244709,126.7458481574,,177513.830321252,467768.285119608,체력단련장업,사립,,
성수헬스24시,20050124,,35,직권말소,20190701,031-965-3344,,,"경기도 고양시 덕양구 화정로 53, 801호 (화정동,새롬프라자)",경기도 고양시 덕양구 화정동 969-1 새롬프라자 801호,412756,37.6352288909,126.8319237237,,185093.23232828,459216.214287851,체력단련장업,사립,,
헬스 매니아,20050204,,35,직권말소,20190107,,198,12190,경기도 남양주시 화도읍 경춘로2192번길 3,경기도 남양주시 화도읍 월산리 366-1,472844,37.6541619889,127.3317501128,,229195.52383474,461357.05154899,체력단련장업,사립,,
더존헬스,20060103,,35,직권말소,20190701,031-963-0035,206.15,,"경기도 고양시 덕양구 원당로125번길 12, 502호 (주교동,원릉빌딩)",경기도 고양시 덕양구 주교동 555-4 원릉빌딩 502호,412810,37.6631627544,126.838623644,,185691.7949536,462319.85728653,체력단련장업,사립,,
대영휘트니스,20090324,,35,직권말소,20200824,,392,,경기도 수원시 장안구 경수대로 1082-7 (파장동),경기도 수원시 장안구 파장동 209-1,440851,37.3099334428,126.9944023516,,199433.369217361,423108.737157567,체력단련장업,사립,,
슬림피티,20181207,,35,직권말소,20260317,,155.49,10926,"경기도 파주시 황골로 15, 주공프라자 304호 (금촌동)",경기도 파주시 금촌동 235-1 주공프라자 304호,10926,37.7554616453,126.7705304991,,179691.58551595,472574.165315596,체력단련장업,사립,Y,
인창남.녀헬스클럽,20000306,,35,직권말소,20160511,031-555-6755,,11918,"경기도 구리시 건원대로 83 (인창동, 현산빌딩)",경기도 구리시 인창동 382-7,11918,37.6082823703,127.1384872039,,212155.836503088,456228.170247079,체력단련장업,사립,,
용마헬스클럽,19961220,,35,직권말소,20191022,,418,12237,경기도 남양주시 경춘로995번길 1-1 (금곡동),경기도 남양주시 금곡동 158-56,472804,37.6349742986,127.2116314162,,218600.871254201,459201.304007362,체력단련장업,사립,,
덕소헬스,20000803,,35,직권말소,20230428,,150,12209,경기도 남양주시 와부읍 덕소로 89-1,경기도 남양주시 와부읍 덕소리 474-8,472901,37.586132405,127.2124881997,,218692.711165074,453770.752238251,체력단련장업,사립,,
원더핏P.T,20120524,,35,직권말소,20210209,031-1644-8387,291.2,13558,"경기도 성남시 분당구 성남대로331번길 3-9, 203.204.205호 (정자동, 백궁프라자3)",경기도 성남시 분당구 정자동 156-2 백궁프라자3 203.204.20호,463867,37.3648430179,127.1076989161,,209470.050516512,429203.590437593,체력단련장업,사립,,
삼성헬스센타,20010105,,35,직권말소,20190107,,265,,경기도 남양주시 화도읍 마석로 51 (광림빌딩 2층),경기도 남양주시 화도읍 마석우리 298-12 광림빌딩 2층,472845,37.6555643945,127.3058758357,,226922.685962061,461503.151221215,체력단련장업,사립,,
G.G헬스,20020111,,35,직권말소,20190107,,271.5,,경기도 남양주시 화도읍 경춘로2192번길 3,경기도 남양주시 화도읍 월산리 366-1,472844,37.6541619889,127.3317501128,,229195.52383474,461357.05154899,체력단련장업,사립,,
JJ헬스클럽,20021022,,35,직권말소,20231228,,297,12040,"경기도 남양주시 오남읍 진건오남로 629, 308호 (진주상가)",경기도 남양주시 오남읍 오남리 683-7 진주상가 308,472883,37.6892550471,127.2124988681,,218613.258814426,465228.37903785,체력단련장업,사립,,
휘트니스클럽 위너스,20030415,,35,직권말소,20230428,,360,12274,경기도 남양주시 와부읍 덕소로 214,경기도 남양주시 와부읍 도곡리 997-12 재령빌딩 203,472908,37.5792726977,127.2198081595,,219365.10585496,453029.90789502,체력단련장업,사립,,
위너스 포랜드,20030820,,35,직권말소,20230428,,537,,경기도 남양주시 와부읍 덕소로 106-5 (위너스포랜드 2층),경기도 남양주시 와부읍 덕소리 511-7 위너스포랜드 2층,472901,37.5845877084,127.2111010133,,218635.502646082,453613.348021313,체력단련장업,사립,,
웰라이프 휘트니스,20041106,,35,직권말소,20230428,,275,,경기도 남양주시 와부읍 덕소로 194 (두산@ 상가 5층),경기도 남양주시 와부읍 도곡리 986 두산@ 상가 5층,472902,37.5793640041,127.216523437,,219083.404870109,453008.148033218,체력단련장업,사립,,
오남 휘트니스클럽,20041223,,35,직권말소,20231228,,234,12037,경기도 남양주시 오남읍 진건오남로 692,경기도 남양주시 오남읍 오남리 134-10 오남프라자 4층,472883,37.6944864886,127.2140213091,,218803.271728105,465810.509147206,체력단련장업,사립,,
라이프헬스클럽,20020507,,35,직권말소,20160511,031-551-7894,,11945,"경기도 구리시 벌말로 186 (토평동, 한결학원)",경기도 구리시 토평동 997-1 오성빌딩3층,11945,37.5928606617,127.15056894,,213233.093672118,454525.272611284,체력단련장업,사립,,
토평헬스,20040206,,35,직권말소,20160511,031-564-2382,,11948,"경기도 구리시 장자대로86번길 38 (수택동, 새롬프라자3)",경기도 구리시 수택동 875-5 402호,11948,37.5866431137,127.1391695365,,212233.07,453826.035,체력단련장업,사립,,
e편한 휘트니스,20090413,,35,직권말소,20190702,031-766-6897,417.29,,"경기도 광주시 초월읍 경충대로1127번길 55, B2동 201~203호 (초월e-편한세상아파트 상가동)",경기도 광주시 초월읍 쌍동리 393 초월e-편한세상아파트 상가동 B2동 201~203호,464789,,,,225619.501186464,430506.380020738,체력단련장업,사립,,
바디체인지,20020124,,35,직권말소,20211230,,247.74,11457,"경기도 양주시 고암길 26 (고암동,성광프라자 3층)",경기도 양주시 고암동 128 성광프라자 3층,482010,37.8316448921,127.06756912,,205878.141347498,481011.481845802,체력단련장업,사립,,
하트생활스포츠클럽,20051028,,35,직권말소,20211230,070-8953-7853,201.28,11419,"경기도 양주시 광적면 가래비길 36 ((2층,3층))","경기도 양주시 광적면 가납리 740-7 (2층,3층)",482841,37.8228844017,126.9867987943,,198770.374108749,480035.833130866,체력단련장업,사립,,
(주)상때빌스파랜드,20091104,,35,직권말소,20160511,,,11932,경기도 구리시 원수택로64번길 9 (수택동),경기도 구리시 수택동 482-2 성원상때빌 아파트 122-114호,471032,37.5970560926,127.1429255029,,212556.679632398,454982.104897442,체력단련장업,사립,,
리복휘트니스,20070402,,35,직권말소,20160411,,304.18,,"경기도 안양시 만안구 냉천로 7 (안양동,리보빌딩 4층)",경기도 안양시 만안구 안양동 559-2 리보빌딩 4층,430827,37.3824950544,126.9291461582,,,,체력단련장업,사립,,
파워여성헬스,20070820,,35,직권말소,20160411,,138.26,,"경기도 안양시 만안구 병목안로130번길 4 (안양동,4층)",경기도 안양시 만안구 안양동 995-4 4층,430836,37.3923383651,126.9090304063,,191871.10195327,432256.77288909,체력단련장업,사립,,
그린헬스클럽,19970320,,35,직권말소,20191230,,,14640,"경기도 부천시 원미구 부일로495번길 42, 3층 (심곡동, 청골빌딩)",경기도 부천시 원미구 심곡동 150-15 청골빌딩 3층,420822,37.4873997963,126.7856894638,,180973.611081433,442813.08975247,체력단련장업,사립,,1
식스팩스토어,20130305,,35,직권말소,20210209,031-704-9688,101.25,13590,"경기도 성남시 분당구 황새울로311번길 14, 201호 (서현동, 서현리더스빌딩)",경기도 성남시 분당구 서현동 274-4 서현리더스빌딩 201호,463824,37.3855055469,127.1196217354,,210524.27413334,431497.393010925,체력단련장업,사립,,
휴먼헬스아카데미,20030221,,35,직권말소,20200824,,,,경기도 수원시 장안구 대평로90번길 20 (정자동),경기도 수원시 장안구 정자동 876-1,440841,37.2964198633,126.9939850871,,199395.693549027,421603.904637584,체력단련장업,사립,,
오정헬스클럽,19980303,,35,직권말소,20200401,,,14434,경기도 부천시 오정구 오정로 254 (오정동),경기도 부천시 오정구 오정동 177-9,14434,37.5299876469,126.787049086,,181108.433425615,447545.985336035,체력단련장업,사립,,
신헬스라인,19990402,,35,직권말소,20100120,,,,경기도 부천시 오정구 고강로72번길 49  (고강동),경기도 부천시 오정구 고강동 310-15,421801,37.5276315077,126.8122754486,,183338.395266895,447286.708073765,체력단련장업,사립,,
요한헬스,19990624,,35,직권말소,20180710,,,14533,경기도 부천시 원미구 신흥로276번길 25 (중동),경기도 부천시 원미구 중동 3-51,420843,,,,,,체력단련장업,사립,,
그랑블루 휘트니스,20031018,,35,직권말소,20170502,,429.56,14544,"경기도 부천시 원미구 길주로 70, 801일부호 (상동, 강산타운)",경기도 부천시 원미구 상동 548-6 강산타운 801호 일부,420864,37.5053668879,126.7498563997,,177811.159050086,444823.621703644,체력단련장업,사립,,
동부휘트니스클럽,20051121,,35,직권말소,20110728,032-348-4036,,,"경기도 부천시 소사구 경인로536번길 23  (괴안동,1층)",경기도 부천시 소사구 괴안동 167 1층,422826,37.4847284453,126.8155758426,,183621.08302073,442520.86386147,체력단련장업,사립,,
웰빙휘트니스,20060106,,35,직권말소,20190117,032-342-8881,293.34,14669,"경기도 부천시 원미구 부일로779번길 38, 2~3층 (역곡동)","경기도 부천시 원미구 역곡동 214 2,3층",420833,37.4893668181,126.8149566278,,183564.223057128,443033.687302721,체력단련장업,사립,,
아이덴핏,20220419,,35,직권말소,20260226,,171.05,14786,"경기도 부천시 소사구 양지로 208, 지음프라자 906,907호 (옥길동)",경기도 부천시 소사구 옥길동 745-7 지음프라자,14786,37.4672636499,126.8240014993,,184358.461775744,440580.195376939,체력단련장업,사립,,
헤이데이짐 영천점,20220418,,35,직권말소,20260209,,490.92,18472,"경기도 화성시 동탄구 동탄순환대로29길 33, 401~404호 (영천동)",경기도 화성시 동탄구 영천동  673-2,18472,37.2063243946,127.1078447884,,209503.391296672,411611.402751066,체력단련장업,사립,,
es토탈 휘트니스,20030526,,35,직권말소,20120229,26857644,,,경기도 광명시 오리로 857 (철산동),경기도 광명시 철산동 484-5,423839,37.4748799229,126.8662530756,,188097.706266613,441420.597996993,체력단련장업,사립,,
드림짐 휘트니스 클럽,20030526,,35,직권말소,20160215,26815529,,14291,"경기도 광명시 광명로 841 (광명동, 동진프라자)",경기도 광명시 광명동 290-14 8층,14291,37.4743231402,126.8516799215,,186812.00600677,441358.410644991,체력단련장업,사립,,
브리티시휘트니스사우나24,20080429,,35,직권말소,20160215,02-899-1186,255.24,14303,경기도 광명시 오리로651번길 5 (하안동),경기도 광명시 하안동 305-1 프라임모터스빌딩 502호,423851,37.4587653222,126.8767350868,,189025.295475614,439632.24982818,체력단련장업,사립,Y,
커브스하안클럽,20110310,,35,직권말소,20160215,02-897-8030,,14248,경기도 광명시 범안로 1035 (하안동),경기도 광명시 하안동 651-1 송화빌딩 301호,423847,37.461953414,126.877929843,,189127.347875532,439982.860612529,체력단련장업,사립,,
T&T스포츠,20030313,,35,직권말소,20190717,,340.11,,경기도 수원시 영통구 효원로 393 (매탄동),경기도 수원시 영통구 매탄동 1267-5,443848,37.2591188639,127.0447004326,,203881.964444371,417467.082644757,체력단련장업,사립,,
테크노헬스,20030630,,35,직권말소,20190808,,268.6,,경기도 수원시 영통구 영통로 103 (망포동),경기도 수원시 영통구 망포동 570-5,443400,37.2373925781,127.0582923263,,205097.555414086,415047.725564943,체력단련장업,사립,,
동원센츄럴휘트니스클럽,20030725,,35,직권말소,20190808,,173,,경기도 수원시 영통구 태장로 62 (망포동),경기도 수원시 영통구 망포동 651-1,443400,37.2389684775,127.0530744198,,204636.863509082,415224.258948661,체력단련장업,사립,,
여성전용헬싱타운,20031231,,35,직권말소,20200608,,,,경기도 수원시 권선구 권선로 544 (세류동),경기도 수원시 권선구 세류동 324-6,441868,37.2629051738,127.010911841,,200893.243912329,417884.504368401,체력단련장업,사립,,
yes휘트니스센타,20040203,,35,직권말소,20200804,,116.8,16503,경기도 수원시 영통구 중부대로 259 (원천동),경기도 수원시 영통구 원천동 79-10,16503,37.2749648404,127.0445598987,,203878.638369345,419229.756496213,체력단련장업,사립,,
경기도수원월드컵스포츠센터,20040309,,35,직권말소,20120127,,,,,경기도 수원시 팔달구 우만동 228,442817,37.2859483964,127.0387628281,,203263.61075856,420600.544733797,체력단련장업,사립,,
썬휘트니스,20040921,,35,직권말소,20200713,,,,경기도 수원시 팔달구 권광로 122 (인계동),경기도 수원시 팔달구 인계동 1135-6,442835,37.2585967124,127.031013074,,202678.942766678,417405.469669579,체력단련장업,사립,,
카렌스스포츠센터,20010214,,35,직권말소,20190613,031-351-2616,,,,경기도 화성시 만세구 우정읍 화산리 70-5 지하,18569,37.0722444191,126.8073253448,,182789.353386093,396727.676271746,체력단련장업,사립,,
바디작,20100907,,35,직권말소,20180515,031-8016-9679,143.97,,"경기도 성남시 분당구 서현로180번길 13 (서현동,서현프라자 703호)",경기도 성남시 분당구 서현동 254-5 서현프라자 703호,463824,37.3878957125,127.1229082544,,210810.417666848,431765.266104936,체력단련장업,사립,,
라이더H.C스포츠,20111006,,35,직권말소,20170502,,293.32,14544,"경기도 부천시 원미구 길주로 70, 203~204호 (상동, 강산타운)","경기도 부천시 원미구 상동 548-6 강산타운 203호,204호",420864,37.5053668879,126.7498563997,,177811.159050086,444823.621703644,체력단련장업,사립,,
휘트니스에스,20070126,,35,직권말소,20190613,031-231-9488,,,"경기도 화성시 병점구 효행로 1062, 901~903,06호 (병점동,센타프라자)","경기도 화성시 병점구 병점동  844-4 센타프라자 901~903,06호",445360,37.2145129817,127.0434921705,,203788.714422398,412515.586713311,체력단련장업,사립,,
현대헬스크럽,20040218,,35,직권말소,20190613,031-205-1335,,,"경기도 화성시 병점구 영통로61번길 11 (반월동,골드프라자3층 201)",경기도 화성시 병점구 반월동  869-4 골드프라자3층 201,445330,37.2347090572,127.0614307796,,205382.707760539,414751.598061712,체력단련장업,사립,,
제이케이(JK)290,20190227,,35,직권말소,20260120,,268.78,13356,"경기도 성남시 중원구 광명로 93, 5층 (성남동)",경기도 성남시 중원구 성남동 2229,13356,37.4353682031,127.139297937,,212256.968333383,437033.601755709,체력단련장업,사립,,
수트 피트니스(SUIT FITNESS),20180828,,35,직권말소,20250122,,972.86,11473,"경기도 양주시 옥정로 196, 파스텔시티 703~706호 (옥정동)",경기도 양주시 옥정동 963-13 파스텔시티,11473,37.8189970539,127.0921505832,,208044.43001322,479607.57997924,체력단련장업,사립,,
더 바디 핏(The Body Fit),20170202,,35,직권말소,20200206,,,14917,"경기도 시흥시 은행로155번길 17, 204~205호 (은행동, 은행프라자)",경기도 시흥시 은행동 537-1번지 은행프라자 204~205호,14917,37.4440621226,126.7976213085,,182028.922847559,438014.829861192,체력단련장업,사립,,
R&B 휘트니스,20040809,,35,직권말소,20230301,,,,"경기도 군포시 산본로323번길 20-25, 5층호 (산본동,우정빌딩)",경기도 군포시 산본동 1138 우정빌딩 5층호,435805,37.3596445409,126.930877611,,193806.224933231,428625.247557726,체력단련장업,사립,,
파워 짐 스포츠클럽,20051006,,35,직권말소,20230301,,,,"경기도 군포시 오금로 118 (금정동,군포고등학교 체육관 1층)",경기도 군포시 금정동 870-4 군포고등학교 체육관 1층,435861,37.3576080115,126.9404459651,,194622.738436741,428425.445686454,체력단련장업,사립,,
펌프휘트니스,20060615,,35,직권말소,20200401,,,,"경기도 부천시 오정구 삼작로 22 (삼정동,부천테크노파크1단지 관리동 3층)",경기도 부천시 오정구 삼정동 364 부천테크노파크1단지 관리동 3층,421809,37.5192137537,126.7630934729,,178926.562820952,446332.817808718,체력단련장업,사립,,
하이원스포츠,20150213,,35,직권말소,20210203,,306,16229,"경기도 수원시 영통구 광교로 145 (이의동, 차세대융합기술연구원 A동)",경기도 수원시 영통구 이의동 864-1,443270,37.2944319423,127.0461349448,,203890.399296336,421311.563806181,체력단련장업,사립,,
