사업장명,영업상태,인허가일자,도로명주소,지번주소,우편번호,전화번호,WGS84위도,WGS84경도,인허가취소일자,폐업일자,휴업시작일자,휴업종료일자,업태구분명,X좌표값,Y좌표값,문화체육업종명,문화사업자구분명,총층수,주변환경명,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,총게임기수,제공게임물명,최초등록시점,지역구분명
신나는 노래연습장,영업중,20021022,"경기도 시흥시 동서로 1106 (목감동,외1필지 3층)",경기도 시흥시 목감동 202-23 외1필지 3층,14984,,37.3873759513,126.8612857137,,,,,,187646.3276769180,431710.3315963630,노래연습장업,유통관련업,4,,172.200,4,,근린생활시설,,,1,,N,N,N,,N,N,,,,
신나는일등매화노래연습장,영업중,20030220,"경기도 시흥시 매화2로 22 (매화동,지하1층(1호))",경기도 시흥시 매화동 220-13 지하1층(1호),14940,,37.4169649004,126.8125541457,,,,,,183337.0815246780,434998.8907232250,노래연습장업,유통관련업,4,주택가주변,115.500,3,1,근린생활시설,,,5,,N,N,N,,N,N,,,,
신나라노래연습장,영업중,20060105,"경기도 시흥시 신천5길 21 (신천동,2층)",경기도 시흥시 신천동 833-1 2층,14948,,37.4377187054,126.7800013374,,,,,,180461.2412439550,437309.3766536020,노래연습장업,유통관련업,,기타,145.600,,,근린생활시설,1.00,50.000,6,4,N,N,N,Y,N,N,,,,일반주거지역
신나쏭코인노래연습장,영업중,20230322,"경기도 시흥시 능곡군자로 54, 2층 206호 (능곡동)",경기도 시흥시 능곡동 211-1,14999,,37.3695524052,126.8062672891,,,,,,182797.6028155960,429736.6121727130,노래연습장업,유통관련업,,,114.240,,,,,,16,16,,,,Y,,,,,,
신나쏭코인노래연습장,영업중,20241219,"경기도 시흥시 은계번영길 13, 아리테타워 201-202호 (은행동)",경기도 시흥시 은행동 646-6 아리테타워,14922,,37.4373401072,126.8025447826,,,,,,182455.7240425050,437264.7933295200,노래연습장업,유통관련업,,,217.720,,,,,,22,22,,,,Y,,,,,,
신바람 노래연습장,등록취소,19980529,"경기도 시흥시 대야로 15 (대야동,(지하1))",경기도 시흥시 대야동 471-16 (지하1),14905,031-318-8514,37.4449492676,126.7892134248,20130722,,,,,181277.8109222910,438109.9096569260,노래연습장업,유통관련업,,주택가주변,71.040,,,근린생활시설,,,4,1,N,Y,N,Y,Y,N,,,,
신바람 노래연습장,폐업,20010721,경기도 시흥시 월곶중앙로46번길 27  (월곶동),경기도 시흥시 월곶동 1004-2,14966,031-318-5882,37.3904812017,126.7415247389,,20070810,,,,177040.5035354190,432075.2424203150,노래연습장업,유통관련업,,,,,,근린생활시설,,,,,N,N,N,N,N,N,,,,
신바람 노래연습장,폐업,19980307,"경기도 시흥시 함송로13번길 16-8  (정왕동,지하102호)",경기도 시흥시 정왕동 1881-1 지하102호,15020,031-432-6306,37.3643510855,126.7318162760,,20090110,,,,176169.7876988360,429177.0444942800,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
신세기노래연습장,영업중,19980411,"경기도 시흥시 정왕천로411번길 36 (정왕동,2층)",경기도 시흥시 정왕동 1188-11 2층,15052,031-497-0752,37.3462981783,126.7488902590,,,,,,177679.7160225290,427171.0033125540,노래연습장업,유통관련업,5,,117.680,4,1,근린생활시설,,,5,1,N,N,N,,N,N,,,,
신세대 게임랜드,직권말소,20031107,"경기도 시흥시 수인로 3366  (신천동,(지하1))",경기도 시흥시 신천동 711 (지하1),14910,,37.4408674826,126.7849563842,,20081013,,,,180900.3252950850,437658.7711843790,노래연습장업,유통관련업,,유흥업소밀집지역,,,,근린생활시설,,,,,N,N,N,N,N,N,,,,
신천노래연습장,영업중,20120209,경기도 시흥시 삼미시장3길 20-1  (신천동),경기도 시흥시 신천동 739-12,14948,,37.4402249964,126.7830520796,,,,,,180730.7224370760,437589.5673781480,노래연습장업,유통관련업,,,689.290,,,,,,,,,,,Y,,,,,,
신천노래연습장,폐업,20090219,"경기도 시흥시 삼미시장3길 20-1  (신천동,지층)",경기도 시흥시 신천동 739-12 지층,14948,,37.4402249964,126.7830520796,,20120120,,,,180730.7224370760,437589.5673781480,노래연습장업,유통관련업,8,주택가주변,240.370,6,2,위험물저장시설,2.00,50.000,8,3,Y,Y,Y,Y,Y,N,,,,일반주거지역
신치댄노래연습장,영업중,20251029,"경기도 시흥시 군서로 37, 군서마을나8길 42 지하층 (정왕동)",경기도 시흥시 정왕동 1212-6 군서마을나8길 42 지하층호,15052,,37.3454894111,126.7478596349,,,,,,177587.2983919550,427081.4401181160,노래연습장업,유통관련업,,,109.220,,,,,110.000,4,0,Y,Y,,,,Y,,,,
신현 노래연습장,영업중,20030219,"경기도 시흥시 신현로 21-1 (포동,2층)",경기도 시흥시 포동 1-13 2층,14957,,37.4070704723,126.7871082004,,,,,,181080.8732316920,433907.5781844190,노래연습장업,유통관련업,,아파트지역,175.840,,,근린생활시설,,,8,2,N,N,N,Y,N,N,,,,
심쿵노래연습장,영업중,20090421,"경기도 시흥시 승지로60번길 32 (능곡동,401,402호)","경기도 시흥시 능곡동 751 401,402호",14995,031-317-2191,37.3684565045,126.8115401451,,,,,,183235.9079648230,429615.6415405040,노래연습장업,유통관련업,8,유흥업소밀집지역,305.620,6,2,근린생활시설,2.00,50.000,9,2,Y,Y,,Y,,,,,,준주거지역
심포니 노래연습장,영업중,20030321,"경기도 시흥시 서촌상가2길 11 (정왕동,302호)",경기도 시흥시 정왕동 1728-14 302호,15036,031-434-3544,37.3468767015,126.7336878751,,,,,,176335.8264324390,427234.8833839520,노래연습장업,유통관련업,,유흥업소밀집지역,109.060,,,근린생활시설,1.00,,6,,N,Y,Y,,N,Y,,,,
싱가폴 노래연습장,영업중,20031017,"경기도 시흥시 월곶중앙로 58 (월곶동,(2층))",경기도 시흥시 월곶동 1009-2 (2층),14966,,37.3889417408,126.7390098298,,,,,,176805.6578095530,431916.4188087840,노래연습장업,유통관련업,,유흥업소밀집지역,177.890,,,근린생활시설,,,1,,,,,,,,,,,
싱싱 노래연습장,폐업,19990204,경기도 시흥시 비둘기공원1길 32  (대야동),경기도 시흥시 대야동 551-1,14911,031-313-8282,37.4409359684,126.7918400875,,20080226,,,,181507.5603781690,437663.4963607340,노래연습장업,유통관련업,,,,,,근린생활시설,,,,,N,N,N,N,N,N,,,,
싱어게인 코인노래연습장,영업중,20250925,"경기도 시흥시 옥구상가2길 9, 3층 303호 (정왕동)",경기도 시흥시 정왕동 1859-12 303호,15040,,37.3533392395,126.7239682347,,,,,,175474.3843936720,427953.8269986470,노래연습장업,유통관련업,,,109.290,,,,,,14,14,,,,Y,,,,,,
싸나이노래연습장,영업중,20150713,"경기도 시흥시 월곶해안로 133, 2층 207, 208호 (월곶동, 월곶화신수산시장)","경기도 시흥시 월곶동 1013-12 월곶화신수산시장 207, 208호",14963,,37.3876563066,126.7353628154,,,,,,176495.4022181940,431764.8440385230,노래연습장업,유통관련업,,,324.570,,,,,,11,,,,,,,,,,,
싸이 노래연습장,폐업,20030411,"경기도 시흥시 군서로18번길 10-1  (정왕동,(2층))",경기도 시흥시 정왕동 1199 (2층),15052,,37.3451358526,126.7503808212,,20110526,,,,177810.6919151840,427041.0254433860,노래연습장업,유통관련업,,주택가주변,131.500,,,근린생활시설,1.00,,5,,N,Y,N,,N,Y,,,,
싸이노래연습장,폐업,20110608,"경기도 시흥시 군서로18번길 10-1  (정왕동,2층)",경기도 시흥시 정왕동 1199 2층,15052,,37.3451358526,126.7503808212,,20151013,,,,177810.6919151840,427041.0254433860,노래연습장업,유통관련업,5,주택가주변,131.500,4,1,근린생활시설,1.00,40.000,5,,,Y,,Y,,,,,,일반주거지역
쌍쌍노래연습장,폐업,20061016,"경기도 시흥시 평안상가4길 24  (정왕동,5층)",경기도 시흥시 정왕동 1627 5층,15062,,37.3372371261,126.7499513350,,20110824,,,,177771.9117450610,426164.8506368650,노래연습장업,유통관련업,5,기타,23.120,5,,근린생활시설,,,,,,,,,,,,,,일반주거지역
썬노래연습장,영업중,20030409,"경기도 시흥시 오이도로 217 (정왕동,(3층))",경기도 시흥시 정왕동 2031-15 (3층),15015,,37.3416135387,126.6865629640,,,,,,172155.5394202170,426666.7983171520,노래연습장업,유통관련업,,주택가주변,134.160,,,근린생활시설,1.00,,5,,N,Y,N,,N,Y,,,,
썬노래연습장,영업중,20190820,"경기도 시흥시 은계번영길 11, 은계프라자 3층 308호 (은행동)",경기도 시흥시 은행동 34 은계프라자,14922,,37.4374281699,126.8021935463,,,,,,182424.4430297330,437272.2733548340,노래연습장업,유통관련업,,,106.250,,,,,,6,,,,,Y,,,,,,
썬노래연습장,영업중,20091022,"경기도 시흥시 봉우재로 63 (정왕동,3층)",경기도 시흥시 정왕동 1823-2 3층,15053,,37.3481388690,126.7463541624,,,,,,177453.2012087510,427376.0971775920,노래연습장업,유통관련업,5,주택가주변,228.640,5,,근린생활시설,1.00,50.000,6,1,Y,Y,,,,,,,,일반주거지역
썸노래연습장,영업중,20180530,"경기도 시흥시 배곧3로 80, 센터프라자 210,211호 (배곧동)",경기도 시흥시 배곧동 194-1 센터프라자,15011,,37.3705347264,126.7290879019,,,,,,175930.2890050030,429864.6127945220,노래연습장업,유통관련업,,,144.780,,,,,,6,,,,,,,,,,,
썸앤썸노래연습장,폐업,20150804,"경기도 시흥시 월곶중앙로14번길 100, 2층 (월곶동)",경기도 시흥시 월곶동 991-22,14968,,37.3944700021,126.7394623217,,20170821,,,,176858.0316726060,432518.9355161490,노래연습장업,유통관련업,,,108.220,,,,,59.000,4,,,,,,,,,,,
쑈노래연습장,폐업,20150114,"경기도 시흥시 승지로60번길 20, 2층 201, 202호 (능곡동, 영프라자)","경기도 시흥시 능곡동 748 영프라자 201, 202호",14995,,37.3686934767,126.8119897207,,20161124,,,,183276.9983334050,429642.2549591710,노래연습장업,유통관련업,,,194.880,,,근린생활시설,,,7,1,,,,Y,,,,,,준주거지역
씨월드 노래연습장,영업중,19980214,"경기도 시흥시 월곶해안로 169 (월곶동,4층)",경기도 시흥시 월곶동 1014-6 4층,14963,,37.3883617795,126.7385299458,,,,,,176773.1150000000,431842.1150000000,노래연습장업,유통관련업,,,390.800,,,,,,4,,N,N,N,,N,N,,,,
씽씽노래연습장,영업중,20121201,"경기도 시흥시 새재로7번길 6-1 (장현동,외 1필지 지하1층)",경기도 시흥시 장현동 544-4 외 1필지 지하1층,14998,,37.3808977948,126.8011928345,,,,,,182328.7183564400,431004.2703578160,노래연습장업,유통관련업,,학교정화(상대),259.500,,,근린생활시설,,,1,,,,,Y,,,,,,상업지역
아따노래연습장,영업중,20130930,"경기도 시흥시 정왕천로411번길 8, 2층호 (정왕동)",경기도 시흥시 정왕동 1194-11 2층호,15052,,37.3447904886,126.7513551862,,,,,,177896.1782422010,427002.3952174690,노래연습장업,유통관련업,,,128.480,,,,,,6,,,,,,,,,,,
아리랑 노래연습장,영업중,20140926,"경기도 시흥시 군서마을로 18-3, 지하1층층 (정왕동)",경기도 시흥시 정왕동 1213-9,15052,,37.3445169469,126.7494386255,,,,,,177726.8537777610,426972.4290388170,노래연습장업,유통관련업,,기타,83.870,,,근린생활시설,1.00,42.000,4,,,,,,,,,,,일반주거지역
아싸 노래연습장,폐업,20020109,"경기도 시흥시 평안상가5길 3  (정왕동,(2층))",경기도 시흥시 정왕동 1783-6 (2층),15062,031-433-6679,37.3368355465,126.7463316525,,20061101,,,,177450.8112329620,426119.0798180480,노래연습장업,유통관련업,,유흥업소밀집지역,,,,근린생활시설,,,,,N,N,N,N,N,N,,,,
아이니노래연습장,영업중,20090707,"경기도 시흥시 군서로28번길 2 (정왕동,지층)",경기도 시흥시 정왕동 1201-10 지층,15052,,37.3451275470,126.7490712692,,,,,,177694.4385278420,427040.4641381490,노래연습장업,유통관련업,4,주택가주변,132.240,3,1,근린생활시설,2.00,50.000,5,1,Y,Y,,,,,,,,일반주거지역
아이리스노래연습장,폐업,20100504,"경기도 시흥시 중심상가로 194 (정왕동,3층전체)",경기도 시흥시 정왕동 1742-13 3층전체,15066,,37.3439656205,126.7365286117,,20201210,,,,176580.9966931740,426911.1238891340,노래연습장업,유통관련업,6,유흥업소밀집지역,346.230,5,1,근린생활시설,2.00,40.000,14,9,Y,Y,,Y,,,,,,중심상업지역
아이원노래연습장,영업중,20031222,"경기도 시흥시 월곶중앙로 71 (월곶동,(2층))",경기도 시흥시 월곶동 1011-15 (2층),14963,,37.3889758169,126.7373037111,,,,,,176666.6269256360,431907.7717087190,노래연습장업,유통관련업,,유흥업소밀집지역,201.600,,,근린생활시설,1.00,,7,,N,Y,N,,Y,Y,,,,
아임싱어코인노래연습장 배곧아브뉴프랑점,영업중,20230112,"경기도 시흥시 서울대학로264번길 25, 시흥배곧 아브뉴프랑 센트럴 블루 229, 230호호 (배곧동)",경기도 시흥시 배곧동 219 시흥배곧 아브뉴프랑 센트럴 블루,15011,,37.3683599517,126.7273257955,,,,,,175777.7283511000,429625.4711535810,노래연습장업,유통관련업,,,130.900,,,,,,20,,,,,Y,,,,,,일반상업지역
아주 노래연습장,폐업,19980910,,경기도 시흥시 정왕동 1394,15025,031-496-9804,37.3532555334,126.7346392386,,20071023,,,,176474.9009255750,427958.0093958180,노래연습장업,유통관련업,5,,,3,2,근린생활시설,,,,,N,N,N,N,N,N,,,,
악 쓰는 노래연습장,영업중,19971231,경기도 시흥시 월곶중앙로30번길 25 (월곶동),경기도 시흥시 월곶동 996-3,14966,031-318-2279,37.3897797382,126.7431811160,,,,,,177183.2251622700,431996.4085584500,노래연습장업,유통관련업,,,113.530,,,근린생활시설,,,1,,N,N,N,,N,N,,,,
악쓰는코인노래연습장,영업중,20190502,"경기도 시흥시 중심상가3길 11-1, 영주빌딩 2층 201호 (정왕동)",경기도 시흥시 정왕동 1737-14 영주빌딩,15066,,37.3448607583,126.7369598548,,,,,,176621.4842946810,427012.7572756460,노래연습장업,유통관련업,,,222.480,,,,,,23,,,,,Y,,,,,,
악쓰는하마 코인노래연습장 배곧점,영업중,20230727,"경기도 시흥시 배곧3로 96, M-플러스 2층 202호 (배곧동)",경기도 시흥시 배곧동 199-1 M-플러스,15011,,37.3697764139,126.7302927867,,,,,,176020.2675773410,429797.3948219870,노래연습장업,유통관련업,,,218.220,,,,,,34,,,,,Y,,,,,,
알리바바노래연습장,영업중,20141208,"경기도 시흥시 군서로36번길 7, 지하층 (정왕동)",경기도 시흥시 정왕동 1204-3,15052,,37.3461054608,126.7483502540,,,,,,177631.9005394300,427149.9869520290,노래연습장업,유통관련업,,,154.200,,,근린생활시설,,,5,,,,,,,,,,,일반주거지역
앗싸 노래연습장,폐업,20030626,"경기도 시흥시 옥구상가2길 9  (정왕동,(302호))",경기도 시흥시 정왕동 1859-12 (302호),15040,,37.3533392395,126.7239682347,,20070521,,,,175474.3843936720,427953.8269986470,노래연습장업,유통관련업,,,,,,,1.00,32.000,3,,N,Y,Y,N,N,Y,,,,
애창노래연습장,폐업,20031126,"경기도 시흥시 삼미시장3길 20-1  (신천동,(지하1))",경기도 시흥시 신천동 739-12 (지하1),14948,,37.4402249964,126.7830520796,,20080818,,,,180730.7224370760,437589.5673781480,노래연습장업,유통관련업,,유흥업소밀집지역,,,,근린생활시설,1.00,40.000,9,,N,Y,N,N,Y,Y,,,,
애플노래연습장,영업중,20040615,"경기도 시흥시 은행로167번길 3  (대야동,301호)",경기도 시흥시 대야동 578-3 301호,14914,,37.4454446818,126.7982075509,,,,,,182071.7225068410,438163.2761234350,노래연습장업,유통관련업,,유흥업소밀집지역,127.280,,,근린생활시설,,,,,,,,,,,,,,일반상업지역
애플노래연습장,폐업,20020801,"경기도 시흥시 월곶해안로 163, 파라다이스빌딩 4층 (월곶동)",경기도 시흥시 월곶동 1014-8 파라다이스빌딩,14963,,37.3886011292,126.7379062195,,20260427,,,,176721.3530822040,431867.9165439380,노래연습장업,유통관련업,,,193.030,,,,,,5,,N,N,N,,N,N,,,,
앵콜 노래연습장,영업중,20010807,"경기도 시흥시 군서로46번길 8-1 (정왕동,(지하1층))",경기도 시흥시 정왕동 1205 (지하1층),15052,,37.3465804297,126.7479164928,,,,,,177594.2363624780,427201.9405619900,노래연습장업,유통관련업,,,149.920,,,,,,4,,N,N,N,Y,N,N,,,,
앵콜 노래연습장,폐업,19970626,경기도 시흥시 호현로21번길 3  (신천동),경기도 시흥시 신천동 706-6,14904,031-314-4563,37.4421781875,126.7840847661,,20080107,,,,180822.4308240490,437802.8239267510,노래연습장업,유통관련업,,,,,,근린생활시설,,,,,N,N,N,N,N,N,,,,
앵콜노래연습장,영업중,20011015,"경기도 시흥시 시청로72번길 16 (장현동,2층)",경기도 시흥시 장현동 534-1 2층,14998,,37.3816364080,126.8011069122,,,,,,182314.7218066010,431079.9834889720,노래연습장업,유통관련업,,,179.550,,,,,,5,2,N,N,N,,N,N,,,,
앵콜노래연습장,영업중,20110401,"경기도 시흥시 봉우재로 51 (정왕동,2층)",경기도 시흥시 정왕동 1837-3 2층,15053,,37.3473315922,126.7455606218,,,,,,177383.5223519390,427286.6187931890,노래연습장업,유통관련업,5,주택가주변,175.140,5,,근린생활시설,1.00,40.000,6,,Y,Y,,,,,,,,일반주거지역
앵콜노래연습장,폐업,20041221,"경기도 시흥시 봉우재로 51  (정왕동,2층)",경기도 시흥시 정왕동 1837-3 2층,15053,,37.3473315922,126.7455606218,,20110324,,,,177383.5223519390,427286.6187931890,노래연습장업,유통관련업,,기타,175.140,,,,,,,,N,N,N,Y,N,N,,,,일반주거지역
야명도노래연습장,영업중,20131014,"경기도 시흥시 군서로10번길 14, 지층호 (정왕동)",경기도 시흥시 정왕동 1194-12 지층호,15052,,37.3448718926,126.7513995376,,,,,,177903.0365847720,427011.5897125320,노래연습장업,유통관련업,,,110.680,,,,,,4,,,,,,,,,,,
야밤노래연습장,영업중,20141209,"경기도 시흥시 군서로36번길 7-1, 지하층 (정왕동)",경기도 시흥시 정왕동 1204-2,15052,,37.3462051072,126.7484282915,,,,,,177639.2765121650,427159.4552984310,노래연습장업,유통관련업,,,129.240,,,근린생활시설,,,4,,Y,Y,,,,,,,,일반주거지역
야시 노래연습장,폐업,20090819,"경기도 시흥시 정왕천로423번길 1  (정왕동,2층)",경기도 시흥시 정왕동 1195-1 2층,15052,031-499-9278,37.3451771779,126.7526384026,,20100906,,,,178010.1460978830,427045.5886178450,노래연습장업,유통관련업,5,학교정화(상대),129.660,5,,근린생활시설,1.00,40.000,6,1,Y,Y,Y,Y,,Y,,,,일반주거지역
야시 노래연습장,폐업,20030722,"경기도 시흥시 정왕천로423번길 1  (정왕동,(2층))",경기도 시흥시 정왕동 1195-1 (2층),15052,,37.3451771779,126.7526384026,,20090813,,,,178010.1460978830,427045.5886178450,노래연습장업,유통관련업,,주택가주변,129.660,,,근린생활시설,1.00,32.000,6,1,N,Y,N,Y,N,Y,,,,
야시노래연습장,폐업,20100910,"경기도 시흥시 정왕천로423번길 1 (정왕동,2층)",경기도 시흥시 정왕동 1195-1 2층,15052,,37.3451771779,126.7526384026,,20130403,,,,178010.1460978830,427045.5886178450,노래연습장업,유통관련업,5,주택가주변,129.660,5,,근린생활시설,1.00,40.000,6,1,Y,Y,,Y,,,,,,일반주거지역
야야노래연습장,영업중,20080506,"경기도 시흥시 죽율로 213 (거모동,지층)",경기도 시흥시 거모동 589-9 지층,15044,,37.3571729720,126.7726526900,,,,,,179785.0084927260,428369.1989560090,노래연습장업,유통관련업,3,주택가주변,112.320,2,1,근린생활시설,1.00,50.000,5,1,Y,Y,Y,,Y,N,,,,일반주거지역
약속 노래연습장,폐업,19931206,경기도 시흥시 호현로 39-2  (신천동),경기도 시흥시 신천동 704-15,14904,031-315-8713,37.4440494999,126.7849939315,,20080214,,,,180894.2293533020,438010.4451934940,노래연습장업,유통관련업,,,,,,근린생활시설,,,,,N,N,N,N,N,Y,,,,
양귀비노래연습장,영업중,20040805,"경기도 시흥시 도일로 119, 4층호 (거모동)",경기도 시흥시 거모동 1545-1 4층,15070,031-492-7638,37.3411140523,126.7835663699,,,,,,180746.1055547830,426585.2539378870,노래연습장업,유통관련업,4,기타,105.780,,,근린생활시설,,,5,0,N,N,N,Y,N,N,,,,일반주거지역
양파노래연습장,폐업,20050103,"경기도 시흥시 중심상가로 151,  302호 (정왕동)",경기도 시흥시 정왕동 1728-6 302호,15036,,37.3466554117,126.7329223926,,20070302,,,,176263.7828380790,427215.7645558150,노래연습장업,유통관련업,,유흥업소밀집지역,63.750,,,근린생활시설,,,,,N,N,N,N,N,N,,,,일반상업지역
어머나노래연습장,폐업,20021126,"경기도 시흥시 비둘기공원7길 39, B101호 (대야동,외1필지 지하1층)",경기도 시흥시 대야동 544-1 외1필지 지하1층 B101호,14912,031-312-2817,37.4424717101,126.7924134527,,20240321,,,,181562.5318482190,437843.5457330320,노래연습장업,유통관련업,6,유흥업소밀집지역,255.630,3,3,근린생활시설,2.00,40.000,11,2,Y,Y,N,,N,N,,,,준주거지역
어벤져스 노래연습장,영업중,20160428,"경기도 시흥시 신천천동로25번길 6-1, 지하층 (신천동)",경기도 시흥시 신천동 762-9,14949,,37.4379350929,126.7844643064,,,,,,180855.0657915690,437333.4228770870,노래연습장업,유통관련업,,,153.560,,,,,,7,5,,,,Y,,,,,,
어울림노래연습장,영업중,20061011,"경기도 시흥시 정왕천로447번길 1 (정왕동,2층)",경기도 시흥시 정왕동 1167-4 2층,15052,,37.3469183151,126.7543033880,,,,,,178161.1858249520,427237.2290371810,노래연습장업,유통관련업,3,기타,109.160,3,,근린생활시설,,,5,1,N,N,N,Y,N,N,,,,일반주거지역
얼짱노래연습장,폐업,20030121,"경기도 시흥시 평안상가4길 16-6  (정왕동,(2층))",경기도 시흥시 정왕동 1625-2 (2층),15062,031-432-6418,37.3376077275,126.7486945899,,20061027,,,,177658.5796753830,426205.3642108840,노래연습장업,유통관련업,4,,,4,,근린생활시설,,,,,N,N,N,N,N,N,,,,
얼짱노래연습장,폐업,20041215,"경기도 시흥시 옥구상가2길 28  (정왕동,4층)",경기도 시흥시 정왕동 1855-8 4층,15040,,37.3520751529,126.7222650196,,20061101,,,,175320.0345698120,427820.6828551420,노래연습장업,유통관련업,,유흥업소밀집지역,150.000,,,근린생활시설,,,,,N,N,N,N,N,N,,,,일반상업지역
엄지노래연습장,영업중,20220915,"경기도 시흥시 능곡번영길 33, 415~417호 (능곡동)",경기도 시흥시 능곡동 211-1,14999,,37.3694565706,126.8068328533,,,,,,182797.6028155960,429736.6121727130,노래연습장업,유통관련업,,,159.960,,,,,,7,1,,,,Y,,,,,,
엉터리 노래연습장,폐업,19971023,경기도 시흥시 군서로 37  (정왕동),경기도 시흥시 정왕동 1212-6,15052,,37.3454894111,126.7478596349,,20101203,,,,177587.2983919550,427081.4401181160,노래연습장업,유통관련업,,,109.220,,,,,,,,N,N,N,N,N,N,,,,
에이스 노래연습장,영업중,20011220,"경기도 시흥시 대은로 80  (은행동,801호)",경기도 시흥시 은행동 536-3 801호,14917,031-312-4112,37.4442501877,126.7974160629,,,,,,182000.9710716200,438031.0627651330,노래연습장업,유통관련업,,유흥업소밀집지역,203.580,,,,,,,,N,N,N,Y,N,N,,,,
에이스노래연습장,영업중,20131113,"경기도 시흥시 옥구상가2길 12, 201호 (정왕동)",경기도 시흥시 정왕동 1859-3 201호,15040,,37.3532362426,126.7233821552,,,,,,175419.5583332010,427948.4618330990,노래연습장업,유통관련업,,,280.080,,,,,,11,,,,,Y,,,,,,
에이스노래연습장,폐업,20000419,"경기도 시흥시 옥구상가3길 25  (정왕동,(2층))",경기도 시흥시 정왕동 1857-1 (2층),15040,031-498-4792,37.3541595445,126.7226048352,,20061127,,,,175353.7819094350,428047.4227929830,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
에이스노래연습장,폐업,20121213,"경기도 시흥시 옥구상가2길 12  (정왕동,2층)",경기도 시흥시 정왕동 1859-3 2층,15040,,37.3532362426,126.7233821552,,20131112,,,,175419.5583332010,427948.4618330990,노래연습장업,유통관련업,,유흥업소밀집지역,280.980,,,근린생활시설,,,,,,,,Y,,,,,,일반상업지역
엔돌핀 노래연습장,폐업,19980928,경기도 시흥시 은행로 154  (은행동),경기도 시흥시 은행동 529-6,14916,031-313-7268,37.4447408301,126.7995933280,,20060912,,,,182195.5383531510,438084.7016113690,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
엔젤노래연습장,폐업,20111226,"경기도 시흥시 은행로173번길 15  (대야동,(2층))",경기도 시흥시 대야동 572-1 (2층),14914,,37.4450224212,126.7969227274,,20120112,,,,181958.4160084440,438117.6784212770,노래연습장업,유통관련업,,,177.560,,,,,,,,,,,,,,,,,
엠(M)노래연습장,직권말소,20110128,"경기도 시흥시 중심상가4길 32 (정왕동,지하1층)",경기도 시흥시 정왕동 1744-7 지하1층,15066,,37.3428034401,126.7366194052,,20140730,,,,176589.4550607780,426784.6521648510,노래연습장업,유통관련업,7,유흥업소밀집지역,248.200,5,2,근린생활시설,1.00,40.000,4,,Y,Y,,,,,,,,중심상업지역
엠플러스 노래연습장,폐업,20211221,"경기도 시흥시 배곧3로 96, M-플러스 210호 (배곧동)",경기도 시흥시 배곧동 199-1 M-플러스,15011,,37.3697764139,126.7302927867,,20250117,,,,176020.2675773410,429797.3948219870,노래연습장업,유통관련업,,,247.660,,,,,,9,,,,,Y,,,,,,
역전노래연습장,영업중,20171212,"경기도 시흥시 신천로 91, 성원빌딩 202호 (신천동)",경기도 시흥시 신천동 765-2 성원빌딩,14949,,37.4385386365,126.7858941674,,,,,,180976.7462562020,437397.8471798620,노래연습장업,유통관련업,3,,210.020,3,,근린생활시설,,,7,7,,Y,,Y,,,,,,일반주거지역
역전노래연습장,영업중,20171127,"경기도 시흥시 오동마을로6번길 6, 2층 (정왕동)",경기도 시흥시 정왕동 2320-3,15049,,37.3526893928,126.7419051492,,,,,,177066.4900000000,427882.1050000000,노래연습장업,유통관련업,4,기타,100.640,4,,근린생활시설,,,4,,,Y,,,,,,,,일반주거지역
연꽃 노래연습장,영업중,19991202,경기도 시흥시 하중로 235 (하중동),경기도 시흥시 하중동 873-3,14976,,37.3908265090,126.8065796459,,,,,,182798.7964320340,432106.7585829940,노래연습장업,유통관련업,,,110.960,,,근린생활시설,,,6,1,N,N,N,Y,N,N,,,,
연성 노래연습장,영업중,19991108,"경기도 시흥시 장곡로49번길 9, 2층 (장곡동)",경기도 시흥시 장곡동 813-8 2층,15002,031-402-2640,37.3785917883,126.7833681376,,,,,,180743.2872231480,430745.0606507400,노래연습장업,유통관련업,,아파트지역,79.430,,,근린생활시설,,,6,,N,N,N,Y,N,N,,,,
연예인노래연습장,영업중,20040527,"경기도 시흥시 삼미시장3길 8 (신천동,지층)",경기도 시흥시 신천동 736-5 지층,14948,,37.4396835573,126.7844363539,,,,,,180853.2395356030,437526.8709796820,노래연습장업,유통관련업,,기타,126.000,,,근린생활시설,,,4,,,,,,,,,,,일반주거지역
연인 노래연습장,폐업,19971208,경기도 시흥시 월곶중앙로70번안길 6  (월곶동),경기도 시흥시 월곶동 1003-1,14966,031-318-0160,37.3913350489,126.7411433391,,20080226,,,,177006.9291568420,432171.1832054200,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
연희 노래연습장,등록취소,19980824,경기도 시흥시 신천천동로25번길 6-1 (신천동),경기도 시흥시 신천동 762-9,14949,031-313-7585,37.4379350929,126.7844643064,20120925,,,,,180855.0657915690,437333.4228770870,노래연습장업,유통관련업,,,137.180,,,근린생활시설,,,,,N,N,N,,N,N,,,,
