bizplc_nm,licensg_ymd,licensg_rtrcn_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,cultur_bizman_div_nm,region_div_nm,tot_floor_cnt,circumfr_envrn_nm,buldng_purpos_nm,ground_floor_cnt,bsmnt_floor_cnt,ship_tot_tonge,ship_spec_cont,mtngrm_atstm_aceptnc_psncnt,playfaclt_cnt,infodesk_extno,subfaclt_info
부천아트센터 콘서트홀,20230424,,13,영업중,,1533-0202,14547,"경기도 부천시 원미구 소향로 165, 부천아트센터 (중동)",경기도 부천시 원미구 중동 1156 부천아트센터,14547,37.5022447075,126.766518599,,179231.378465226,444548.835224643,공연장,공연장,,7,,문화시설,5,2,,,,,,
부천아트센터 소공연장,20230424,,13,영업중,,1533-0202,14547,"경기도 부천시 원미구 소향로 165, 부천아트센터 (중동)",경기도 부천시 원미구 중동 1156 부천아트센터,14547,37.5022447075,126.766518599,,179231.378465226,444548.835224643,공연장,공연장,,7,,문화시설,5,2,,,,,,
소나무 예술극장,20030616,,13,영업중,,02-893-6977,,"경기도 광명시 하안로288번길 15, 2층 (하안동, 조일프라자)",경기도 광명시 하안동 61-1 조일프라자 2층,423849,37.4622507497,126.8813422819,,189427.533159562,440012.60025587,공연장,공연장,,,,,2,,,,,,,
광명문화원 공연장,20050906,,13,영업중,,02-2618-5800,14245,"경기도 광명시 철망산로 42, 광명문화원 (하안동)",경기도 광명시 하안동 683 광명문화원,14245,37.467182223,126.8729899967,,188694.326400355,440484.135615227,공연장,공연장,,,,,,,,,,,,
광명종합사회복지관,20080215,,13,영업중,,02-2687-2921,,경기도 광명시 오리로 1018 (광명동),경기도 광명시 광명동 158-970,423858,37.4809053962,126.8504693907,,186702.557740622,442091.64915347,공연장,공연장,,10,,교육연구시설,6,4,,,,,,
광명극장,20210917,,13,영업중,,02-2621-8800,14245,"경기도 광명시 철망산로 2, 평생학습원 (하안동)",경기도 광명시 하안동 718-2 평생학습원,14245,37.4667420624,126.8698838918,,188390.001155108,440515.972598332,공연장,공연장,,3,,,3,,,,,,,
평택극장  1관,19941224,,13,영업중,,,,경기도 평택시 평택1로 10 (평택동),경기도 평택시 평택동 45-1,450826,36.9927889233,127.0872773144,,207695.292054829,387910.388270778,공연장,공연장,,,,,,,,,,,,
평택극장2관,19980309,,13,영업중,,,,경기도 평택시 평택1로 10  (평택동),경기도 평택시 평택동 45-1,450826,36.9927889233,127.0872773144,,207695.292054829,387910.388270778,공연장,공연장,,,,,,,,,,,,
중앙씨네마타운 4 2관,19980309,,13,영업중,,,,경기도 평택시 평택로32번길 25  (평택동),경기도 평택시 평택동 298-2,450828,36.9914156369,127.0889816175,,207848.496161395,387760.895664779,공연장,공연장,,,,,,,,,,,,
중앙씨네마타운4  1관,19980309,,13,영업중,,,,경기도 평택시 평택로32번길 25  (평택동),경기도 평택시 평택동 298-2,450828,36.9914156369,127.0889816175,,207848.496161395,387760.895664779,공연장,공연장,,,,,,,,,,,,
평택극장 3관,20011212,,13,영업중,,,,경기도 평택시 평택1로 10  (평택동),경기도 평택시 평택동 45-1,450826,36.9927889233,127.0872773144,,207695.292054829,387910.388270778,공연장,공연장,,,,,,,,,,,,
하늘소리 소극장,20070807,,35,직권말소,20161109,031-902-5021,,"경기도 고양시 일산동구 중앙로1261번길 77, 204호 (장항동,한신메트로폴리스)",경기도 고양시 일산동구 장항동 864-2 한신메트로폴리스 204호,410837,37.6572135804,126.7697922897,,179617.369579689,461673.375689469,공연장,공연장,근린상업지역,,기타,근린생활시설,10,,,,,,,
벅스,20050110,,35,직권말소,20090921,,,경기도 동두천시 송내로 17  (송내동),경기도 동두천시 송내동 673-4,483010,37.88156035,127.0533927972,,204627.813086659,486550.110377639,공연장,공연장,,,,,,,,,,,,
뉴코아소극장 평택점,20160906,,35,직권말소,20180718,031-650-6000,17885,"경기도 평택시 경기대로 279 (비전동, 뉴코아 아울렛 백화점)",경기도 평택시 비전동 830-1,17885,36.995560236,127.1125034426,,209947.80648191,388208.048761482,공연장,공연장,중심상업지역,1,기타,기타,,,,,,,,
오랜시간,20050203,,35,직권말소,20161123,031-534-7878,,경기도 포천시 군내면 포천로 1333,경기도 포천시 군내면 용정리 47-5,487871,37.8790223531,127.2138664857,,218732.866541151,486305.079934535,공연장,공연장,관리지역,3,기타,근린생활시설,3,,,,,,,
상상아트센터,20200228,,35,직권말소,20210429,032-323-8015,14592,"경기도 부천시 원미구 조마루로 2, 웅진플레이도시 2층 (상동)",경기도 부천시 원미구 상동 572-1 웅진플레이도시,14592,37.4988667424,126.745384894,,177375.852950927,444220.013600334,공연장,공연장,자연녹지지역,7,학교정화(상대),근린생활시설,4,3,,,,,,
로젠브로이,20050905,,35,직권말소,20161109,,,"경기도 고양시 일산동구 중앙로1275번길 38-31, A동 301-1호 (장항동,라페스타)",경기도 고양시 일산동구 장항동 766 라페스타 A동 301-1호,410837,37.6604752616,126.7696129537,,179580.33125846,462064.220892906,공연장,공연장,,,,,,,,,,,,
동양아트홀,20021230,,35,직권말소,20150724,031-236-9425,,경기도 수원시 권선구 권광로139번길 11 (권선동),경기도 수원시 권선구 권선동 1015,441822,37.2600179314,127.0302599543,,202612.424654599,417564.574352309,공연장,공연장,,,,,,,,,,,,
군포시야외공연장,20160201,,35,직권말소,20181030,031-390-0666,15829,"경기도 군포시 청백리길 6 (금정동, 군포시청)",경기도 군포시 금정동 844,15829,37.3617039781,126.9336513174,,194167.798894783,428828.852840024,공연장,공연장,,,,근린생활시설,,,,,,,,
성남시청소년재단(수정청소년수련관),20050430,,03,폐업,20210701,031-729-9200,,경기도 성남시 수정구 희망로509번길 20 (신흥동),"경기도 성남시 수정구 신흥동 466 지상1층, 2층",461808,37.4493090503,127.1501750175,,213212.580159857,438516.029183766,공연장,공연장,,5,,교육연구시설,3,2,,,,,,
동두천극장,19990714,,03,폐업,20011005,,,경기도 동두천시 중앙로 272  (생연동),경기도 동두천시 생연동 601-63,483801,37.9057461469,127.0544296812,,204718.696622041,489236.853809725,공연장,공연장,,5,,근린생활시설,4,1,,,,,,
롯데씨네마안산8관,20070710,,03,폐업,20150508,070-8897-3962,,경기도 안산시 상록구 항가울로 422 (성포동),경기도 안산시 상록구 성포동 590,426837,37.3180439496,126.8467383942,,186396.067737112,423947.236380533,공연장,공연장,,,,,,,,,,,,
3 NEW THEATRE,20191126,,03,폐업,20220307,,10208,경기도 고양시 일산서구 송포로 297 (가좌동),경기도 고양시 일산서구 가좌동 153-9,10208,37.6908716186,126.7250237344,,175697.277646853,465418.761769721,공연장,공연장,,,,근린생활시설,,,,,,,,
행주아트홀,20200319,,03,폐업,20231226,1599-4985,10440,"경기도 고양시 덕양구 행주산성로 38, 지하 2층 (행주외동)",경기도 고양시 덕양구 행주외동 54-5 지하 2층,10440,37.6025488519,126.822835843,,184290.256592769,455597.247683162,공연장,공연장,상업지역,,기타,기타,,,,,,,,
모험의나라 해적선 무대,20060704,,03,폐업,20060831,,,경기도 과천시 광명로 181,경기도 과천시 막계동 33,427080,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
모험의 나라 해적선 무대,20100716,,03,폐업,20100831,02-509-6181,,경기도 과천시 광명로 181,경기도 과천시 막계동 33 서울랜드,427703,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
모험의 나라 해적선 무대,20130710,,03,폐업,20130826,02-509-6181,,경기도 과천시 광명로 181 (막계동),경기도 과천시 막계동 33,427703,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
예맥아트홀,20100203,,03,폐업,20221230,031-943-9435,,경기도 파주시 탄현면 헤이리마을길 82-146 (헤이리예술인마을),경기도 파주시 탄현면 법흥리 1652-506 헤이리예술인마을,413700,37.7883218959,126.7021788732,,173694.836066804,476237.344131504,공연장,공연장,,,,,,,,,,,,
건축학개론 소극장,20250115,,03,폐업,20250804,070-8691-2153,17316,경기도 이천시 백사면 청백리로84번길 57-1,경기도 이천시 백사면 모전리 588,17316,37.3024473506,127.473889254,,241939.347769176,422371.727330889,공연장,공연장,,,,,,,,,,,,
썰매장의 야외공연장,20060714,,03,폐업,20180712,,,경기도 양평군 옥천면 신촌길 188,경기도 양평군 옥천면 신복리 142,476831,37.5627058381,127.4565877919,,240219.72204922,451382.255913229,공연장,공연장,,,,,,,,,,,,
베어아트홀,20041020,,03,폐업,,,,"경기도 성남시 분당구 탄천상로151번길 20, C동 501호 (구미동, 월드쇼핑)",경기도 성남시 분당구 구미동 159 월드쇼핑 C동 501호,463870,37.3403224727,127.1068217377,,209409.160207927,426451.358939753,공연장,공연장,근린상업지역,9,기타,근린생활시설,5,4,,,,,,
한화호텔앤드리조트,20041108,,03,폐업,20161220,,,경기도 포천시 영북면 산정호수로 402,경기도 포천시 영북면 산정리 454-4,487892,38.0653856554,127.3142713501,,227517.61144726,507014.18422547,공연장,공연장,관리지역,7,,콘도미니엄,5,2,,,,,,
무지개극장,20021230,,03,폐업,20070501,031-238-0951,,"경기도 수원시 권선구 경수대로 270  (권선동,밀리오레빌딩 5층)",경기도 수원시 권선구 권선동 1189 밀리오레빌딩 5층,441713,37.2504974396,127.0208246964,,201782.733115582,416501.699707548,공연장,공연장,,,,,,,,,,,,
키즈홀,20161103,,03,폐업,20220818,031-230-7300,16470,"경기도 수원시 팔달구 중부대로34번길 15, 7층 (인계동, 2001아울렛)",경기도 수원시 팔달구 인계동 754-1 7층,16470,37.2744248842,127.0211446102,,201804.810108336,419164.107425875,공연장,공연장,,,,,,,,,,,,
가족극장 비전홀,20060911,,03,폐업,20150827,,,"경기도 안양시 동안구 귀인로 301 (평촌동,비전센타 5층)",경기도 안양시 동안구 평촌동 158-3 비전센타 5층,431070,37.3892470395,126.9719771839,,197461.41639603,431894.472936422,공연장,공연장,,,,,,,,,,,,
수원시민회관,20021230,,03,폐업,20260324,031-244-2161,,경기도 수원시 팔달구 팔달산로 28 (매산로3가),경기도 수원시 팔달구 매산로3가 산 2-1,442083,37.2735973684,127.0113164151,,200924.607408171,419155.901747587,공연장,공연장,,,,,,,,,,,,
레미어린이극장,20141118,,03,폐업,20200701,031-923-5961,10391,"경기도 고양시 일산서구 주엽로 79, 롯데마트빅마켓일산킨텍스점 지하1층 (대화동)",경기도 고양시 일산서구 대화동 1050-171 롯데마트빅마켓일산킨텍스점 지하1층호,10391,37.6672704473,126.7536496647,,178207.798502925,462784.587737594,공연장,공연장,일반상업지역,,기타,근린생활시설,,1,,,,,,
우경아트홀(k뮤직아카데미),20150128,,03,폐업,20250421,031-972-6900,,경기도 고양시 덕양구 화신로272번길 11 (화정동),경기도 고양시 덕양구 화정동 984-7,412827,37.6314292165,126.8310284198,,185016.925,458798.77,공연장,공연장,상업지역,1,주택가주변,근린생활시설,1,,,,,,,
활주로7080 공연장,20190320,,03,폐업,20210503,,10364,"경기도 고양시 일산동구 무궁화로 31-16, 남정시티프라자 305호 (장항동)",경기도 고양시 일산동구 장항동 733-2 남정시티프라자,10364,37.6635085418,126.7674856987,,179415.194722872,462371.641551543,공연장,공연장,,,,근린생활시설,3,,,,,,,
제이제이,20191206,,03,폐업,20200611,,10245,"경기도 고양시 일산동구 고봉로 795, 2층 (설문동)",경기도 고양시 일산동구 설문동 703,10245,37.7259313027,126.7951607207,,181869.908262046,469300.860046272,공연장,공연장,,,,,2,,,,,,,
올리브,20191212,,03,폐업,20210429,,10364,"경기도 고양시 일산동구 무궁화로 31-2, 풍성프라자 305호일부, 306 호 (장항동)",경기도 고양시 일산동구 장항동 734-2 풍성프라자,10364,37.6631234603,126.7678863116,,179449.749672525,462327.132044475,공연장,공연장,,,,,,,,,,,,
서울랜드 눈썰매장 스노우스턴트쇼장,20031226,,03,폐업,20040605,,,경기도 과천시 광명로 181,경기도 과천시 막계동 33 사계절이벤트장,427080,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
모험의나라 해적선 무대,20040709,,03,폐업,20041028,,,,경기도 과천시 막계동 33 모험의 나라 내,427080,,,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
모험의 나라 해적선 무대,20050701,,03,폐업,20050913,,,경기도 과천시 광명로 181,경기도 과천시 막계동 33 서울랜드 모험의 나라 내,427703,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
모험의나라 해적선무대,20070712,,03,폐업,20070831,,,경기도 과천시 광명로 181,경기도 과천시 막계동 33,427080,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
모험의 나라 해적선 무대,20080711,,03,폐업,20080831,,,경기도 과천시 광명로 181,경기도 과천시 막계동 33,427080,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,자연녹지지역,,기타,기타,,,,,,,,
모험의 나라 해적선 무대,20090713,,03,폐업,20090831,,,경기도 과천시 광명로 181,경기도 과천시 막계동 서울랜드,427703,37.4365017609,127.0240724311,,,,공연장,공연장,,,,,,,,,,,,
모험의 나라 해적선 무대,20110719,,03,폐업,20110831,02-509-6181,,경기도 과천시 광명로 181,경기도 과천시 막계동 33,427080,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
모험의 나라 해적선 무대,20120705,,03,폐업,20120827,,,경기도 과천시 광명로 181 (막계동),경기도 과천시 막계동 33,427703,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
롯데백화점 구리점 아동극장,20111129,,03,폐업,20200731,031-550-8082,,경기도 구리시 경춘로 261 (인창동),경기도 구리시 인창동 677 롯데백화점,471712,37.6026921337,127.1437935543,,212647.021160325,455616.655198478,공연장,공연장,,9,,,9,5,,,,,,
파스날 공연장,20131001,,03,폐업,20131031,,,"경기도 구리시 검배로48번길 9, 지층 (수택동)",경기도 구리시 수택동 487-2 지층,471820,37.5968611524,127.1440365863,,212644.475460069,454967.051342761,공연장,공연장,,,,,,1,,,,,,
복지회관(소공연장),20021101,,03,폐업,20070726,031-310-2593,,경기도 시흥시 은행로173번길 14  (대야동),경기도 시흥시 대야동 571-3,429874,37.4455175348,126.7968163486,,181933.080911607,438152.135409829,공연장,공연장,,,,,,,,,,,,
KPU 아트센터,20070605,,03,폐업,20211021,031-8041-1210,,,경기도 시흥시 정왕동 2121,429450,37.3401991905,126.7336156822,,,,공연장,공연장,,,,,,,,,,,,
여성회관 작은어울마당,20040821,,03,폐업,20190723,031-324-4544,,경기도 용인시 수지구 문정로7번길 15 (풍덕천동),경기도 용인시 수지구 풍덕천동 1086,448509,37.3205436396,127.0954126088,,208390.429594965,424286.238679874,공연장,공연장,,,,,,,,,,,,
이채쇼핑몰 이채아트홀,20050324,,03,폐업,20140911,,,"경기도 파주시 문발로 220 (문발동,파주출판도시)",경기도 파주시 문발동 510-1 파주출판도시,413832,37.7138569304,126.6877975708,,172401.251761358,467977.5877297,공연장,공연장,준공업지역,5,기타,문화시설,3,2,,,,,,
아르티스타 아트홀,20200804,,03,폐업,20230622,,10858,경기도 파주시 탄현면 새오리로 199,경기도 파주시 탄현면 대동리 70-6,10858,37.801193939,126.6878871287,,172464.899151596,477662.946116142,공연장,공연장,,1,,근린생활시설,,,,,,,,
서희청소년문화센터,20030104,,03,폐업,20190716,031-637-6591,,경기도 이천시 영창로 260 (창전동),경기도 이천시 창전동 105-3,467807,37.2804372651,127.4517644395,,239991.539291529,419919.093017745,공연장,공연장,,,,,,,,,,,,
유유자적,20200812,,03,폐업,20231228,,17300,경기도 이천시 신둔면 증신로 528,경기도 이천시 신둔면 도암리 416-5,17300,37.3161368335,127.4411893472,,239033.795971683,423887.209224346,공연장,공연장,,3,,,3,,,,,,,
김포한강신도시 아트빌리지 야외공연장,20210916,,03,폐업,20231229,031-996-7340,10077,"경기도 김포시 모담공원로 170, 김포아트빌리지(아트센터) (운양동)","경기도 김포시 운양동 1325-10 김포아트빌리지(아트센터), 공연장화장실",10077,37.6467401978,126.6963164533,,173086.598287184,460463.697894477,공연장,공연장,일반주거지역,1,기타,문화시설,1,,,,,,,
바탕골예술극장,20030207,,03,폐업,20150610,,,,경기도 양평군 강하면 왕창리 365-1,476921,37.4882855396,127.3975591748,,235091.439463666,442971.236212578,공연장,공연장,,3,,문화시설,2,1,,,,,,
노르웨이숲의 공연장,20060714,,03,폐업,20180712,,,,경기도 양평군 옥천면 신복리 산 212,476831,37.5652200227,127.454130086,,240078.515675714,451541.096198883,공연장,공연장,,,,,,,,,,,,
시애틀(Seattle Live),20150402,,03,폐업,20180323,,12545,경기도 양평군 양평읍 경강로 1749,경기도 양평군 양평읍 오빈리 118-7,12545,37.5020406787,127.4757771949,,241965.228425669,444544.775152459,공연장,공연장,관리지역,2,기타,근린생활시설,1,1,,,,,,
세이브아트 홀(어린이 전용),20031001,,03,폐업,,031-735-1536,,"경기도 성남시 수정구 산성대로 337, 6층 (신흥동, 세이브존)",경기도 성남시 수정구 신흥동 2463-5 세이브존 6층,461810,37.4439105927,127.1534899028,,213499.485770645,437994.885930918,공연장,공연장,,,,,,,,,,,,
엔씨소극장,20151216,,03,폐업,,031-8010-8400,17365,"경기도 이천시 영창로 165, 6층 (창전동, 엔씨백화점)",경기도 이천시 창전동 152-5,17365,37.2819377843,127.4411144413,,239066.829966423,420094.84719581,공연장,공연장,,,,,,,,,,,,
남문뉴코아아트홀,20021230,,03,폐업,20040518,,,"경기도 수원시 팔달구 중부대로34번길 15  (인계동,11층)",경기도 수원시 팔달구 인계동 754-1 11층,442831,37.2744248842,127.0211446102,,201804.810108336,419164.107425875,공연장,공연장,,,,,,,,,,,,
오닉스,20190523,,03,폐업,20230417,,11419,"경기도 양주시 광적면 삼일로 57, 102호",경기도 양주시 광적면 석우리 66-17 102호,11419,37.8233528991,126.9888294471,,198948.298963941,480085.706154579,공연장,공연장,자연녹지지역,2,기타,문화시설,2,0,,,,,,
동수원뉴코아아트홀,20021230,,03,폐업,20040518,02-839-4246,,"경기도 수원시 팔달구 인계로 154  (인계동,9층)",경기도 수원시 팔달구 인계동 1114-1 9층,442835,37.2662986444,127.0343149778,,202973.410322233,418262.114463247,공연장,공연장,,,,,,,,,,,,
NC수원터미널점 야외공연장,20021230,,03,폐업,20151005,031-267-5181,,경기도 수원시 권선구 경수대로 270 (권선동),경기도 수원시 권선구 권선동 1189,441830,37.2504974396,127.0208246964,,201782.733115582,416501.699707548,공연장,공연장,,7,기타,문화시설,6,1,,,,,,
드림씨어터,20051014,,03,폐업,20070501,031-242-8234,,경기도 수원시 팔달구 정조로788번길 10  (팔달로2가),경기도 수원시 팔달구 팔달로2가 47-3,442022,37.2781922026,127.0173554035,,201470.517998325,419580.047762947,공연장,공연장,,,,,,,,,,,,
뉴코아소극장 동수원점,20160524,,03,폐업,20180611,031-231-6000,16488,"경기도 수원시 팔달구 인계로 154 (인계동, 동수원뉴코아아울렛)",경기도 수원시 팔달구 인계동 1114-1,16488,37.2662986444,127.0343149778,,202973.410322233,418262.114463247,공연장,공연장,,,,,,,,,,,,
성남시민회관 대극장,20021231,,03,폐업,20150630,,,경기도 성남시 수정구 수정로171번길 10 (태평동),경기도 성남시 수정구 태평동 3309,461822,37.4448498671,127.1390489311,,212249.047353812,438077.510365737,공연장,공연장,일반주거지역,7,학교정화(절대),사무실,5,2,,,,,,
성남시민회관 소극장,20021231,,03,폐업,20150630,,,경기도 성남시 수정구 수정로171번길 10 (태평동),경기도 성남시 수정구 태평동 3309,461193,37.4448498671,127.1390489311,,212249.047353812,438077.510365737,공연장,공연장,일반주거지역,7,학교정화(절대),사무실,5,2,,,,,,
광명시민회관 소공연장,20030515,,03,폐업,20171024,02-2680-2562,,"경기도 광명시 시청로 20 (철산동, 시민회관)",경기도 광명시 철산동 222-1,423833,37.4778909462,126.864666872,,187956.278515903,441724.894707553,공연장,공연장,,3,,,1,,,,,,,
분당소극장,20150602,,03,폐업,20220504,070-4112-6478,,"경기도 성남시 분당구 안골로 12-6, 301호 (서현동)",경기도 성남시 분당구 서현동 198-5 301호,463820,37.3842709165,127.1339852052,,211793.69742683,431354.820246821,공연장,공연장,자연녹지지역,,,근린생활시설,,,,,,,,
괜찮은홀 분당점,20160607,,03,폐업,20190425,031-712-7140,13630,"경기도 성남시 분당구 미금일로154번길 20, 6층 (구미동, 2001아울렛)",경기도 성남시 분당구 구미동 11-1,13630,37.3490770543,127.1074648235,,209435.930737593,427476.184354786,공연장,공연장,,,,,,,,,,,,
NC소극장 야탑점,20160826,,03,폐업,20191001,031-780-3008,13497,"경기도 성남시 분당구 야탑로81번길 11, 6층 (야탑동, 킴스아울렛)",경기도 성남시 분당구 야탑동 357-1,13497,37.4109403922,127.1274822762,,211200.046775342,434263.681539619,공연장,공연장,,,,,,,,,,,,
깜찍이품바공연장,20190415,,03,폐업,20250226,,13377,"경기도 성남시 중원구 둔촌대로 77, 지층 (성남동)",경기도 성남시 중원구 성남동 4194,13377,37.4302125667,127.1277371875,,211239.88898456,436465.264938449,공연장,공연장,,6,,근린생활시설,5,1,,,,,,
코펙스아트홀,20201019,,03,폐업,20240108,031-708-5288,13461,"경기도 성남시 분당구 산운로160번길 18, 1층 (운중동)",경기도 성남시 분당구 운중동 970-4,13461,37.3922270967,127.0789178638,,206918.495675457,432240.633267176,공연장,공연장,,4,,근린생활시설,3,1,,,,,,
뉴코아 소극장,20111201,,03,폐업,20170616,,,"경기도 안양시 동안구 동안로 119, 9층 (호계동)",경기도 안양시 동안구 호계동 1039-3 9층,431085,37.3892156001,126.9512140946,,195607.793974827,431900.704084955,공연장,공연장,,,,,,,,,,,,
동욱홀,20160519,,03,폐업,20180905,02-2645-8495,14479,경기도 부천시 오정구 길주로561번길 24 (여월동),경기도 부천시 오정구 여월동 242-2,14479,37.5076809099,126.8054662056,,182730.039868412,445069.143545533,공연장,공연장,일반주거지역,,주택가주변,근린생활시설,,,,,,,,
광명시평생학습원,20080214,,03,폐업,20200401,02-2619-6148,,경기도 광명시 오리로854번길 10 (철산동),경기도 광명시 철산동 419,423837,37.4743689676,126.8684627314,,188295.050869076,441362.910055393,공연장,공연장,,4,,교육연구시설,4,1,,,,,,
풍류사운드,20220510,,03,폐업,20240829,,14344,"경기도 광명시 신기로 15, 에스프라자 604호, 605호 (일직동)",경기도 광명시 일직동 510-7,14344,37.420427376,126.8830313804,,189577.356517798,435373.125858659,공연장,공연장,,,,,,,,,,,,
학생회관소극장,20021231,,03,폐업,20080806,,,경기도 안산시 상록구 한양대학로 55  (사동),경기도 안산시 상록구 사동 1271,426910,37.2964247972,126.8378992214,,185280.88157797,421578.196815357,공연장,공연장,일반주거지역,,학교정화(상대),교육연구시설,,,,,,,,
백남학술관 중강당,20021231,,03,폐업,20050425,,,경기도 안산시 상록구 한양대학로 55  (사동),경기도 안산시 상록구 사동 1271,426910,37.2964247972,126.8378992214,,185280.88157797,421578.196815357,공연장,공연장,일반주거지역,,학교정화(상대),교육연구시설,,,,,,,,
CGV안산 웃찾사 전용관,20100616,,03,폐업,20110922,031-436-4580,,"경기도 안산시 단원구 광덕대로 194  (고잔동,스타맥스타워 8층)",경기도 안산시 단원구 고잔동 725-1 스타맥스타워 8층,425809,37.3134582083,126.8310125539,,184953.121683517,423556.960051606,공연장,공연장,,10,유흥업소밀집지역,문화시설,,,,,,,,
고양시 민방위교육장,20030326,,03,폐업,20050418,,,경기도 고양시 덕양구 화신로 214  (행신동),경기도 고양시 덕양구 행신동 892,412220,37.6303404571,126.8377473272,,185587.85708562,458679.155010359,공연장,공연장,,,,,,,,,,,,
롯데시네마 일산14,20070702,,03,폐업,20090731,,,,"경기도 고양시 일산동구 장항동 771,784,784-1번지",410380,,,,,,공연장,공연장,,,,,,,,,,,,
리캐스트 공연장,20101118,,03,폐업,20140210,,,"경기도 고양시 일산동구 중앙로1275번길 38-31, A동 301호 (장항동,라페스타)",경기도 고양시 일산동구 장항동 766 라페스타 A동 301호,410837,37.6604752616,126.7696129537,,179580.33125846,462064.220892906,공연장,공연장,중심상업지역,6,유흥업소밀집지역,식품위생시설,5,1,,,,,,
더퍼포머씨어터,20240227,,03,폐업,20260131,,18478,"경기도 화성시 동탄구 동탄대로 537, 라스플로레스 B동 5층 509호 (오산동)",경기도 화성시 동탄구 오산동  1019 라스플로레스 B동 509호,18478,37.2022258061,127.0979268967,,208624.936086903,411151.948385108,공연장,공연장,,,,,,,,,,,,
연천군민회관,20021230,,02,휴업,,,,경기도 연천군 연천읍 차옥로 38-5,경기도 연천군 연천읍 옥산리 449-1,486802,38.0982438517,127.0793352241,,206894.404569859,510599.356554742,공연장,공연장,,2,주택가주변,문화시설,2,1,,,,,,
